match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
YBoge6Ac,Bodrumspor,Besiktas,0,0,1x2,0,home,ft,4.9,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,1x2,0,draw,ft,4.4,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,1x2,0,away,ft,1.74,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,0.50,over,ft,1.05,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,0.50,under,ft,19.0,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,1.50,over,ft,1.21,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,1.50,under,ft,5.4,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,2.50,over,ft,1.62,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,2.50,under,ft,2.56,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,3.50,over,ft,2.5,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,3.50,under,ft,1.64,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,4.50,over,ft,4.6,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,4.50,under,ft,1.26,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,5.50,over,ft,10.0,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,5.50,under,ft,1.1,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,6.50,over,ft,25.0,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,6.50,under,ft,1.03,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,ou,7.50,over,ft,65.0,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,hc,0,home,ft,3.81,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,hc,0,away,ft,1.34,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,hc,0.50,home,ft,2.35,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,hc,0.50,away,ft,1.73,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,hc,-0.50,home,ft,4.9,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,hc,-0.50,away,ft,1.25,1
YBoge6Ac,Bodrumspor,Besiktas,0,0,hc,0.75,home,ft,2.06,1
