match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
KYjTdhmA,Pardubice,Kometa Brno,0,0,1x2,0,home,ft,1.897,7
KYjTdhmA,Pardubice,Kometa Brno,0,0,1x2,0,draw,ft,4.014,7
KYjTdhmA,Pardubice,Kometa Brno,0,0,1x2,0,away,ft,3.403,7
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,2.50,over,ft,1.1,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,2.50,under,ft,5.2,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,2.75,over,ft,1.11,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,2.75,under,ft,4.95,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,3.00,over,ft,1.12,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,3.00,under,ft,4.7,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,3.25,over,ft,1.22,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,3.25,under,ft,3.7,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,3.50,over,ft,1.307,3
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,3.50,under,ft,3.07,3
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,3.75,over,ft,1.36,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,3.75,under,ft,2.91,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,4.00,over,ft,1.437,3
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,4.00,under,ft,2.62,3
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,4.25,over,ft,1.62,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,4.25,under,ft,2.29,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,4.50,over,ft,1.79,5
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,4.50,under,ft,1.998,5
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,4.75,over,ft,1.92,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,4.75,under,ft,1.88,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,5.00,over,ft,2.092,4
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,5.00,under,ft,1.692,4
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,5.25,over,ft,2.22,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,5.25,under,ft,1.56,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,5.50,over,ft,2.45,4
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,5.50,under,ft,1.478,4
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,5.75,over,ft,2.66,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,5.75,under,ft,1.37,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,6.00,over,ft,3.24,3
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,6.00,under,ft,1.257,3
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,6.25,over,ft,3.34,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,6.25,under,ft,1.24,2
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,6.50,over,ft,3.633,3
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,6.50,under,ft,1.197,3
KYjTdhmA,Pardubice,Kometa Brno,0,0,ou,7.00,over,ft,6.8,2
