match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,1x2,0,home,ft,1.833,7
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,1x2,0,draw,ft,3.85,7
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,1x2,0,away,ft,3.856,7
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,1.50,over,ft,1.03,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,1.50,under,ft,12.0,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,2.00,over,ft,1.04,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,2.00,under,ft,10.5,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,2.50,over,ft,1.135,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,2.50,under,ft,5.975,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,2.75,over,ft,1.17,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,2.75,under,ft,5.11,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,3.00,over,ft,1.155,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,3.00,under,ft,5.335,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,3.25,over,ft,1.21,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,3.25,under,ft,4.04,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,3.50,over,ft,1.34,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,3.50,under,ft,3.287,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,3.75,over,ft,1.34,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,3.75,under,ft,3.1,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,4.00,over,ft,1.463,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,4.00,under,ft,2.723,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,4.25,over,ft,1.54,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,4.25,under,ft,2.39,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,4.50,over,ft,1.788,5
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,4.50,under,ft,2.002,5
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,4.75,over,ft,1.85,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,4.75,under,ft,1.917,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,5.00,over,ft,2.163,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,5.00,under,ft,1.707,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,5.25,over,ft,2.18,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,5.25,under,ft,1.68,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,5.50,over,ft,2.495,4
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,5.50,under,ft,1.522,4
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,5.75,over,ft,2.67,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,5.75,under,ft,1.43,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,6.00,over,ft,3.415,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,6.00,under,ft,1.325,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,6.25,over,ft,3.5,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,6.25,under,ft,1.27,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,6.50,over,ft,4.175,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,6.50,under,ft,1.235,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,7.00,over,ft,5.835,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,7.00,under,ft,1.14,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,7.50,over,ft,6.48,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,7.50,under,ft,1.115,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,8.00,over,ft,9.9,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,8.00,under,ft,1.05,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,8.50,over,ft,10.5,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,ou,8.50,under,ft,1.04,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,hc,0,home,ft,1.41,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,hc,0,away,ft,2.91,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,hc,0.50,home,ft,1.265,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,hc,0.50,away,ft,3.7,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,hc,-0.50,home,ft,1.835,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,hc,-0.50,away,ft,1.96,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,hc,0.75,home,ft,1.25,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,hc,0.75,away,ft,3.98,2
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,hc,-0.75,home,ft,1.997,3
IeZECiQF,Lokomotiv Yaroslavl,Tractor Chelyabinsk,2,2,hc,-0.75,away,ft,1.783,3
