match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,2.50,over,ft,3.09,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,2.50,under,ft,1.4,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,17.50,over,ft,1.19,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,17.50,under,ft,4.04,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,18.00,over,ft,1.23,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,18.00,under,ft,3.72,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,18.50,over,ft,1.355,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,18.50,under,ft,2.97,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,19.00,over,ft,1.37,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,19.00,under,ft,2.84,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,19.50,over,ft,1.495,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,19.50,under,ft,2.525,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,20.00,over,ft,1.63,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,20.00,under,ft,2.28,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,20.50,over,ft,1.75,3
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,20.50,under,ft,2.1,3
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,21.00,over,ft,1.87,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,21.00,under,ft,1.965,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,21.50,over,ft,1.99,3
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,21.50,under,ft,1.87,3
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,22.00,over,ft,2.165,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,22.00,under,ft,1.71,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,22.50,over,ft,2.323,3
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,22.50,under,ft,1.613,3
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,23.00,over,ft,2.53,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,23.00,under,ft,1.48,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,23.50,over,ft,2.605,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,23.50,under,ft,1.46,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,24.00,over,ft,2.68,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,24.00,under,ft,1.41,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,24.50,over,ft,2.73,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,24.50,under,ft,1.405,2
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,25.50,over,ft,2.87,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,ou,25.50,under,ft,1.39,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,hc,1.50,home,ft,1.053,3
OSjE5zPG,Djokovic N.,Korda S.,2,2,hc,1.50,away,ft,10.533,3
OSjE5zPG,Djokovic N.,Korda S.,2,2,hc,-1.50,home,ft,1.55,3
OSjE5zPG,Djokovic N.,Korda S.,2,2,hc,-1.50,away,ft,2.497,3
OSjE5zPG,Djokovic N.,Korda S.,2,2,hc,-1.50,home,ft,1.18,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,hc,-1.50,away,ft,4.2,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,hc,-2.00,home,ft,1.2,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,hc,-2.00,away,ft,4.04,1
OSjE5zPG,Djokovic N.,Korda S.,2,2,hc,-2.50,home,ft,1.28,1
