match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,2.50,over,ft,2.21,1
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,2.50,under,ft,1.72,1
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,19.50,over,ft,1.24,2
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,19.50,under,ft,3.48,2
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,20.00,over,ft,1.27,2
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,20.00,under,ft,3.28,2
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,20.50,over,ft,1.343,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,20.50,under,ft,3.023,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,21.00,over,ft,1.39,2
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,21.00,under,ft,2.68,2
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,21.50,over,ft,1.463,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,21.50,under,ft,2.593,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,22.00,over,ft,1.6,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,22.00,under,ft,2.28,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,22.50,over,ft,1.722,4
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,22.50,under,ft,2.123,4
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,23.00,over,ft,1.85,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,23.00,under,ft,1.947,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,23.50,over,ft,1.972,4
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,23.50,under,ft,1.875,4
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,24.00,over,ft,2.013,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,24.00,under,ft,1.79,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,24.50,over,ft,2.045,4
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,24.50,under,ft,1.775,4
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,25.00,over,ft,2.09,2
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,25.00,under,ft,1.66,2
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,25.50,over,ft,2.153,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,25.50,under,ft,1.657,3
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,26.00,over,ft,2.3,2
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,26.00,under,ft,1.52,2
QiFWieVg,Thompson J.,Nishioka Y.,1,1,ou,26.50,over,ft,2.437,3
