match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,2.50,over,ft,2.62,3
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,2.50,under,ft,1.52,3
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,17.50,over,ft,1.24,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,17.50,under,ft,3.42,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,18.00,over,ft,1.29,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,18.00,under,ft,3.18,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,18.50,over,ft,1.25,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,18.50,under,ft,3.35,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,19.00,over,ft,1.29,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,19.00,under,ft,3.15,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,19.50,over,ft,1.29,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,19.50,under,ft,3.13,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,20.00,over,ft,1.33,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,20.00,under,ft,2.94,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,20.50,over,ft,1.45,3
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,20.50,under,ft,2.51,3
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,21.00,over,ft,1.58,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,21.00,under,ft,2.357,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,21.50,over,ft,1.649,7
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,21.50,under,ft,2.187,7
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,22.00,over,ft,1.794,5
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,22.00,under,ft,2.014,5
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,22.50,over,ft,1.939,7
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,22.50,under,ft,1.864,7
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,23.00,over,ft,2.124,5
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,23.00,under,ft,1.71,5
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,23.50,over,ft,2.201,7
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,23.50,under,ft,1.643,7
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,24.00,over,ft,2.21,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,24.00,under,ft,1.6,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,24.50,over,ft,2.173,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,24.50,under,ft,1.603,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,25.00,over,ft,2.3,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,25.00,under,ft,1.52,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,25.50,over,ft,2.32,3
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,25.50,under,ft,1.52,3
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,26.50,over,ft,2.7,1
QeRe6lKE,Musetti L.,Tabilo A.,1,1,ou,26.50,under,ft,1.4,1
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,1.50,home,ft,1.095,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,1.50,away,ft,6.992,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-1.50,home,ft,1.824,5
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-1.50,away,ft,1.95,5
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-0.50,home,ft,1.28,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-0.50,away,ft,3.48,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-1.00,home,ft,1.29,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-1.00,away,ft,3.4,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-1.50,home,ft,1.35,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-1.50,away,ft,3.05,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-2.00,home,ft,1.465,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-2.00,away,ft,2.7,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-2.50,home,ft,1.493,6
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-2.50,away,ft,2.562,6
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-3.00,home,ft,1.598,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-3.00,away,ft,2.355,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-3.50,home,ft,1.786,5
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-3.50,away,ft,2.048,5
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-4.00,home,ft,2.112,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-4.00,away,ft,1.73,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-4.50,home,ft,2.408,6
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-4.50,away,ft,1.548,6
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-5.00,home,ft,3.272,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-5.00,away,ft,1.34,4
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-5.50,home,ft,3.72,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-5.50,away,ft,1.25,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-6.00,home,ft,5.75,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-6.00,away,ft,1.12,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-6.50,home,ft,6.3,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-6.50,away,ft,1.1,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-7.00,home,ft,5.3,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-7.00,away,ft,1.14,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-7.50,home,ft,5.8,2
QeRe6lKE,Musetti L.,Tabilo A.,1,1,hc,-7.50,away,ft,1.12,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,2.50,over,ft,3.163,3
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,2.50,under,ft,1.377,3
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,17.50,over,ft,1.22,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,17.50,under,ft,3.6,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,18.00,over,ft,1.27,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,18.00,under,ft,3.28,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,18.50,over,ft,1.39,3
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,18.50,under,ft,2.743,3
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,19.00,over,ft,1.47,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,19.00,under,ft,2.5,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,19.50,over,ft,1.638,6
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,19.50,under,ft,2.205,6
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,20.00,over,ft,1.744,5
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,20.00,under,ft,2.08,5
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,20.50,over,ft,1.869,7
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,20.50,under,ft,1.913,7
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,21.00,over,ft,1.994,5
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,21.00,under,ft,1.808,5
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,21.50,over,ft,2.08,7
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,21.50,under,ft,1.726,7
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,22.00,over,ft,2.236,5
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,22.00,under,ft,1.614,5
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,22.50,over,ft,2.302,5
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,22.50,under,ft,1.53,5
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,23.00,over,ft,2.51,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,23.00,under,ft,1.44,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,23.50,over,ft,2.61,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,23.50,under,ft,1.4,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,24.00,over,ft,2.58,2
6inl2U9D,Musetti L.,Shevchenko A.,2,2,ou,24.00,under,ft,1.42,2
