match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,2.50,over,ft,2.43,3
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,2.50,under,ft,1.517,3
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,16.50,over,ft,1.02,1
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,16.50,under,ft,7.13,1
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,17.50,over,ft,1.12,1
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,17.50,under,ft,4.99,1
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,18.50,over,ft,1.24,1
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,18.50,under,ft,3.52,1
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,19.50,over,ft,1.36,1
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,19.50,under,ft,2.8,1
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,20.50,over,ft,1.558,4
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,20.50,under,ft,2.218,4
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,21.00,over,ft,1.646,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,21.00,under,ft,2.11,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,21.50,over,ft,1.744,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,21.50,under,ft,1.984,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,22.00,over,ft,1.86,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,22.00,under,ft,1.844,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,22.50,over,ft,1.968,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,22.50,under,ft,1.73,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,23.00,over,ft,2.102,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,23.00,under,ft,1.65,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,23.50,over,ft,2.158,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,23.50,under,ft,1.608,5
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,24.50,over,ft,2.16,1
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,24.50,under,ft,1.58,1
jRPwwyKH,Guillen Meza A.,Duckworth J.,,,ou,25.50,over,ft,2.32,1
