match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,2.50,over,ft,3.085,2
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,2.50,under,ft,1.36,2
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,14.50,over,ft,1.02,1
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,14.50,under,ft,9.76,1
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,15.50,over,ft,1.04,1
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,15.50,under,ft,7.6,1
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,16.50,over,ft,1.074,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,16.50,under,ft,6.434,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,17.00,over,ft,1.11,1
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,17.00,under,ft,5.92,1
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,17.50,over,ft,1.182,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,17.50,under,ft,4.024,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,18.00,over,ft,1.218,4
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,18.00,under,ft,3.683,4
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,18.50,over,ft,1.304,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,18.50,under,ft,3.066,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,19.00,over,ft,1.352,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,19.00,under,ft,2.836,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,19.50,over,ft,1.531,8
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,19.50,under,ft,2.311,8
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,20.00,over,ft,1.585,6
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,20.00,under,ft,2.243,6
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,20.50,over,ft,1.792,8
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,20.50,under,ft,1.956,8
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,21.00,over,ft,1.842,6
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,21.00,under,ft,1.903,6
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,21.50,over,ft,1.971,8
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,21.50,under,ft,1.801,8
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,22.00,over,ft,2.157,6
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,22.00,under,ft,1.648,6
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,22.50,over,ft,2.313,7
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,22.50,under,ft,1.539,7
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,23.00,over,ft,2.52,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,23.00,under,ft,1.454,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,23.50,over,ft,2.656,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,23.50,under,ft,1.408,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,24.00,over,ft,2.676,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,24.00,under,ft,1.39,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,24.50,over,ft,2.722,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,24.50,under,ft,1.382,5
GjrFHGzg,Alcaraz C.,Fils A.,2,2,ou,25.50,over,ft,3.272,4
