match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,2.50,over,ft,2.516,5
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,2.50,under,ft,1.506,5
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,15.50,over,ft,1.04,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,15.50,under,ft,7.67,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,16.50,over,ft,1.09,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,16.50,under,ft,5.82,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,17.50,over,ft,1.18,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,17.50,under,ft,4.15,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,18.50,over,ft,1.288,6
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,18.50,under,ft,3.258,6
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,19.00,over,ft,1.318,4
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,19.00,under,ft,2.915,4
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,19.50,over,ft,1.448,5
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,19.50,under,ft,2.506,5
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,20.00,over,ft,1.512,4
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,20.00,under,ft,2.333,4
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,20.50,over,ft,1.652,10
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,20.50,under,ft,2.12,10
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,21.00,over,ft,1.74,7
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,21.00,under,ft,2.04,7
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,21.50,over,ft,1.869,10
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,21.50,under,ft,1.908,10
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,22.00,over,ft,1.976,7
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,22.00,under,ft,1.786,7
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,22.50,over,ft,2.093,10
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,22.50,under,ft,1.676,10
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,23.00,over,ft,2.22,7
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,23.00,under,ft,1.606,7
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,23.50,over,ft,2.286,5
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,23.50,under,ft,1.534,5
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,24.00,over,ft,2.337,4
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,24.00,under,ft,1.488,4
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,24.50,over,ft,2.423,6
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,24.50,under,ft,1.493,6
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,25.00,over,ft,2.47,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,25.00,under,ft,1.4,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,25.50,over,ft,2.518,4
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,25.50,under,ft,1.475,4
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,26.50,over,ft,2.915,6
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,26.50,under,ft,1.383,6
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,27.50,over,ft,3.15,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,27.50,under,ft,1.3,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,28.50,over,ft,3.55,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,28.50,under,ft,1.24,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,29.50,over,ft,4.12,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,29.50,under,ft,1.18,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,30.50,over,ft,4.91,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,30.50,under,ft,1.13,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,31.50,over,ft,5.95,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,31.50,under,ft,1.08,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,32.50,over,ft,7.34,1
vZlD8Z14,Trungelliti M.,Jodar R.,0,0,ou,32.50,under,ft,1.05,1
