match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,2.50,over,ft,2.25,3
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,2.50,under,ft,1.68,3
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,19.50,over,ft,1.22,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,19.50,under,ft,3.48,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,20.00,over,ft,1.26,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,20.00,under,ft,3.28,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,20.50,over,ft,1.33,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,20.50,under,ft,2.95,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,21.00,over,ft,1.41,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,21.00,under,ft,2.64,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,21.50,over,ft,1.49,2
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,21.50,under,ft,2.42,2
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,22.00,over,ft,1.585,2
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,22.00,under,ft,2.275,2
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,22.50,over,ft,1.678,6
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,22.50,under,ft,2.13,6
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,23.00,over,ft,1.833,4
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,23.00,under,ft,1.97,4
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,23.50,over,ft,1.968,6
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,23.50,under,ft,1.837,6
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,24.00,over,ft,1.995,4
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,24.00,under,ft,1.805,4
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,24.50,over,ft,1.977,6
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,24.50,under,ft,1.78,6
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,25.00,over,ft,2.11,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,25.00,under,ft,1.6,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,25.50,over,ft,2.05,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,25.50,under,ft,1.65,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,26.00,over,ft,2.34,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,26.00,under,ft,1.49,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,26.50,over,ft,2.35,2
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,26.50,under,ft,1.52,2
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,27.00,over,ft,2.49,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,27.00,under,ft,1.42,1
fHv9YrAL,Norrie C.,Tien L.,1,1,ou,27.50,over,ft,2.49,1
