match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,3.50,over,ft,1.465,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,3.50,under,ft,2.685,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,4.50,over,ft,3.11,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,4.50,under,ft,1.385,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,21.50,over,ft,1.415,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,21.50,under,ft,2.505,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,22.00,over,ft,1.455,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,22.00,under,ft,2.43,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,22.50,over,ft,1.573,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,22.50,under,ft,2.277,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,23.00,over,ft,1.607,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,23.00,under,ft,2.23,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,23.50,over,ft,1.707,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,23.50,under,ft,2.073,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,24.00,over,ft,1.817,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,24.00,under,ft,1.947,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,24.50,over,ft,1.984,5
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,24.50,under,ft,1.822,5
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,25.00,over,ft,2.127,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,25.00,under,ft,1.683,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,25.50,over,ft,2.273,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,25.50,under,ft,1.593,3
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,26.00,over,ft,2.43,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,26.00,under,ft,1.48,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,26.50,over,ft,2.555,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,26.50,under,ft,1.425,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,27.00,over,ft,2.77,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,27.00,under,ft,1.355,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,27.50,over,ft,2.88,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,27.50,under,ft,1.32,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,36.50,over,ft,1.65,1
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,36.50,under,ft,2.15,1
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,38.50,over,ft,1.8,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,38.50,under,ft,1.875,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,39.50,over,ft,1.9,1
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,39.50,under,ft,1.75,1
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,40.50,over,ft,2.075,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,40.50,under,ft,1.65,2
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,42.50,over,ft,2.45,1
U7xPgcOE,Tien L.,Blockx A.,3,3,ou,42.50,under,ft,1.5,1
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,1.50,home,ft,1.25,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,1.50,away,ft,3.797,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-1.50,home,ft,2.024,5
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-1.50,away,ft,1.742,5
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,2.50,home,ft,1.073,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,2.50,away,ft,7.893,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-2.50,home,ft,4.05,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-2.50,away,ft,1.227,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,0,home,ft,1.547,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,0,away,ft,2.363,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,0.50,home,ft,1.42,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,0.50,away,ft,2.58,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-0.50,home,ft,1.587,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-0.50,away,ft,2.253,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,1.00,home,ft,1.36,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,1.00,away,ft,2.79,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-1.00,home,ft,1.613,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-1.00,away,ft,2.2,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,1.50,home,ft,1.39,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,1.50,away,ft,2.69,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-1.50,home,ft,1.697,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-1.50,away,ft,2.053,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-2.00,home,ft,1.807,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-2.00,away,ft,1.927,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-2.50,home,ft,1.94,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-2.50,away,ft,1.88,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-3.00,home,ft,2.127,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-3.00,away,ft,1.653,3
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-3.50,home,ft,2.16,4
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-3.50,away,ft,1.655,4
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-4.00,home,ft,2.635,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-4.00,away,ft,1.405,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-4.50,home,ft,2.915,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-4.50,away,ft,1.335,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-5.00,home,ft,3.86,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-5.00,away,ft,1.2,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-5.50,home,ft,4.23,2
U7xPgcOE,Tien L.,Blockx A.,3,3,hc,-5.50,away,ft,1.17,2
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,3.50,over,ft,1.627,3
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,3.50,under,ft,2.303,3
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,4.50,over,ft,3.78,3
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,4.50,under,ft,1.277,3
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,18.50,over,ft,1.35,1
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,18.50,under,ft,3.05,1
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,19.50,over,ft,1.41,2
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,19.50,under,ft,2.52,2
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,20.00,over,ft,1.46,2
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,20.00,under,ft,2.41,2
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,20.50,over,ft,1.595,4
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,20.50,under,ft,2.175,4
KA6ixyx2,Tien L.,Basavareddy N.,3,3,ou,21.00,over,ft,1.59,2
