match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,2.50,over,ft,2.293,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,2.50,under,ft,1.61,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,19.50,over,ft,1.216,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,19.50,under,ft,3.67,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,20.00,over,ft,1.24,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,20.00,under,ft,3.5,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,20.50,over,ft,1.355,6
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,20.50,under,ft,2.877,6
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,21.00,over,ft,1.384,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,21.00,under,ft,2.762,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,21.50,over,ft,1.466,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,21.50,under,ft,2.51,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,22.00,over,ft,1.583,6
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,22.00,under,ft,2.275,6
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,22.50,over,ft,1.743,7
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,22.50,under,ft,2.001,7
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,23.00,over,ft,1.86,6
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,23.00,under,ft,1.882,6
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,23.50,over,ft,1.993,7
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,23.50,under,ft,1.754,7
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,24.00,over,ft,2.008,6
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,24.00,under,ft,1.733,6
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,24.50,over,ft,2.02,7
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,24.50,under,ft,1.704,7
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,25.00,over,ft,2.054,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,25.00,under,ft,1.68,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,25.50,over,ft,2.124,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,25.50,under,ft,1.622,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,26.00,over,ft,2.294,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,26.00,under,ft,1.524,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,26.50,over,ft,2.418,6
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,26.50,under,ft,1.472,6
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,27.00,over,ft,2.46,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,27.00,under,ft,1.446,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,27.50,over,ft,2.52,2
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,27.50,under,ft,1.465,2
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,28.50,over,ft,2.71,1
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,28.50,under,ft,1.39,1
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,29.50,over,ft,3.0,1
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,29.50,under,ft,1.33,1
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,30.50,over,ft,3.3,1
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,ou,30.50,under,ft,1.27,1
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,1.50,home,ft,1.222,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,1.50,away,ft,4.258,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-1.50,home,ft,2.258,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-1.50,away,ft,1.598,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,0,home,ft,1.41,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,0,away,ft,2.62,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,0.50,home,ft,1.552,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,0.50,away,ft,2.418,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-0.50,home,ft,1.554,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-0.50,away,ft,2.326,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,1.00,home,ft,1.35,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,1.00,away,ft,2.85,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-1.00,home,ft,1.55,4
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-1.00,away,ft,2.305,4
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,1.50,home,ft,1.564,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,1.50,away,ft,2.35,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-1.50,home,ft,1.592,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-1.50,away,ft,2.21,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-2.00,home,ft,1.672,4
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-2.00,away,ft,2.078,4
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,2.50,home,ft,1.6,1
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,2.50,away,ft,2.24,1
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-2.50,home,ft,1.782,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-2.50,away,ft,1.942,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-3.00,home,ft,2.02,4
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-3.00,away,ft,1.712,4
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-3.50,home,ft,2.238,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-3.50,away,ft,1.578,5
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-4.00,home,ft,2.81,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-4.00,away,ft,1.36,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-4.50,home,ft,3.21,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-4.50,away,ft,1.28,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-5.00,home,ft,4.68,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-5.00,away,ft,1.14,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-5.50,home,ft,5.16,3
QL19pvcR,Tabilo A.,Etcheverry T. M.,1,1,hc,-5.50,away,ft,1.11,3
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,2.50,over,ft,2.215,2
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,2.50,under,ft,1.645,2
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,15.50,over,ft,1.02,1
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,15.50,under,ft,9.48,1
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,16.50,over,ft,1.03,1
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,16.50,under,ft,8.89,1
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,17.50,over,ft,1.08,1
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,17.50,under,ft,5.62,1
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,18.50,over,ft,1.224,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,18.50,under,ft,3.614,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,19.00,over,ft,1.27,4
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,19.00,under,ft,3.292,4
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,19.50,over,ft,1.316,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,19.50,under,ft,2.984,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,20.00,over,ft,1.35,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,20.00,under,ft,2.822,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,20.50,over,ft,1.493,6
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,20.50,under,ft,2.427,6
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,21.00,over,ft,1.538,6
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,21.00,under,ft,2.293,6
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,21.50,over,ft,1.606,8
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,21.50,under,ft,2.201,8
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,22.00,over,ft,1.712,6
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,22.00,under,ft,2.065,6
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,22.50,over,ft,1.89,8
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,22.50,under,ft,1.893,8
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,23.00,over,ft,1.958,6
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,23.00,under,ft,1.792,6
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,23.50,over,ft,2.056,8
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,23.50,under,ft,1.706,8
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,24.00,over,ft,2.088,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,24.00,under,ft,1.676,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,24.50,over,ft,2.128,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,24.50,under,ft,1.622,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,25.00,over,ft,2.214,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,25.00,under,ft,1.554,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,25.50,over,ft,2.298,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,25.50,under,ft,1.516,5
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,26.00,over,ft,2.55,1
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,26.00,under,ft,1.47,1
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,26.50,over,ft,2.6,2
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,26.50,under,ft,1.44,2
xY6iuuMO,Tabilo A.,Buse I.,2,2,ou,27.50,over,ft,2.74,1
