match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,2.50,over,ft,2.703,3
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,2.50,under,ft,1.49,3
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,16.50,over,ft,1.07,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,16.50,under,ft,6.31,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,17.50,over,ft,1.16,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,17.50,under,ft,4.32,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,18.50,over,ft,1.21,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,18.50,under,ft,3.68,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,19.00,over,ft,1.25,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,19.00,under,ft,3.42,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,19.50,over,ft,1.49,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,19.50,under,ft,2.63,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,20.00,over,ft,1.55,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,20.00,under,ft,2.46,2
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,20.50,over,ft,1.602,5
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,20.50,under,ft,2.256,5
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,21.00,over,ft,1.67,5
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,21.00,under,ft,2.214,5
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,21.50,over,ft,1.726,7
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,21.50,under,ft,2.099,7
b5yhVdv8,Alcaraz C.,Fritz T.,2,2,ou,22.00,over,ft,1.792,5
