match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
ryttLrpK,Arango E.,Jovic I.,0,0,ou,2.50,over,ft,2.49,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,2.50,under,ft,1.545,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,16.50,over,ft,1.15,1
ryttLrpK,Arango E.,Jovic I.,0,0,ou,16.50,under,ft,5.47,1
ryttLrpK,Arango E.,Jovic I.,0,0,ou,17.50,over,ft,1.23,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,17.50,under,ft,3.5,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,18.00,over,ft,1.27,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,18.00,under,ft,3.28,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,18.50,over,ft,1.36,4
ryttLrpK,Arango E.,Jovic I.,0,0,ou,18.50,under,ft,2.9,4
ryttLrpK,Arango E.,Jovic I.,0,0,ou,19.00,over,ft,1.39,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,19.00,under,ft,2.68,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,19.50,over,ft,1.53,3
ryttLrpK,Arango E.,Jovic I.,0,0,ou,19.50,under,ft,2.327,3
ryttLrpK,Arango E.,Jovic I.,0,0,ou,20.00,over,ft,1.63,4
ryttLrpK,Arango E.,Jovic I.,0,0,ou,20.00,under,ft,2.208,4
ryttLrpK,Arango E.,Jovic I.,0,0,ou,20.50,over,ft,1.768,6
ryttLrpK,Arango E.,Jovic I.,0,0,ou,20.50,under,ft,1.988,6
ryttLrpK,Arango E.,Jovic I.,0,0,ou,21.00,over,ft,1.843,4
ryttLrpK,Arango E.,Jovic I.,0,0,ou,21.00,under,ft,1.938,4
ryttLrpK,Arango E.,Jovic I.,0,0,ou,21.50,over,ft,1.938,5
ryttLrpK,Arango E.,Jovic I.,0,0,ou,21.50,under,ft,1.844,5
ryttLrpK,Arango E.,Jovic I.,0,0,ou,22.00,over,ft,2.075,4
ryttLrpK,Arango E.,Jovic I.,0,0,ou,22.00,under,ft,1.728,4
ryttLrpK,Arango E.,Jovic I.,0,0,ou,22.50,over,ft,2.176,5
ryttLrpK,Arango E.,Jovic I.,0,0,ou,22.50,under,ft,1.628,5
ryttLrpK,Arango E.,Jovic I.,0,0,ou,23.00,over,ft,2.28,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,23.00,under,ft,1.56,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,23.50,over,ft,2.36,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,23.50,under,ft,1.51,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,24.00,over,ft,2.43,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,24.00,under,ft,1.47,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,24.50,over,ft,2.518,4
ryttLrpK,Arango E.,Jovic I.,0,0,ou,24.50,under,ft,1.46,4
ryttLrpK,Arango E.,Jovic I.,0,0,ou,25.50,over,ft,2.93,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,25.50,under,ft,1.33,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,26.50,over,ft,3.33,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,26.50,under,ft,1.26,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,27.50,over,ft,3.92,2
ryttLrpK,Arango E.,Jovic I.,0,0,ou,27.50,under,ft,1.19,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,1.50,home,ft,1.61,5
ryttLrpK,Arango E.,Jovic I.,0,0,hc,1.50,away,ft,2.218,5
ryttLrpK,Arango E.,Jovic I.,0,0,hc,-1.50,home,ft,4.123,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,-1.50,away,ft,1.217,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,0,home,ft,2.41,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,0,away,ft,1.48,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,0.50,home,ft,2.43,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,0.50,away,ft,1.52,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,-0.50,home,ft,2.49,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,-0.50,away,ft,1.45,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,1.00,home,ft,2.36,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,1.00,away,ft,1.55,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,1.50,home,ft,2.242,4
ryttLrpK,Arango E.,Jovic I.,0,0,hc,1.50,away,ft,1.613,4
ryttLrpK,Arango E.,Jovic I.,0,0,hc,-1.50,home,ft,2.89,1
ryttLrpK,Arango E.,Jovic I.,0,0,hc,-1.50,away,ft,1.42,1
ryttLrpK,Arango E.,Jovic I.,0,0,hc,2.00,home,ft,2.15,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,2.00,away,ft,1.673,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,2.50,home,ft,2.09,5
ryttLrpK,Arango E.,Jovic I.,0,0,hc,2.50,away,ft,1.702,5
ryttLrpK,Arango E.,Jovic I.,0,0,hc,3.00,home,ft,1.96,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,3.00,away,ft,1.833,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,3.50,home,ft,1.912,4
ryttLrpK,Arango E.,Jovic I.,0,0,hc,3.50,away,ft,1.867,4
ryttLrpK,Arango E.,Jovic I.,0,0,hc,4.00,home,ft,1.687,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,4.00,away,ft,2.147,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,4.50,home,ft,1.578,5
ryttLrpK,Arango E.,Jovic I.,0,0,hc,4.50,away,ft,2.312,5
ryttLrpK,Arango E.,Jovic I.,0,0,hc,5.00,home,ft,1.44,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,5.00,away,ft,2.727,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,5.50,home,ft,1.357,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,5.50,away,ft,3.07,3
ryttLrpK,Arango E.,Jovic I.,0,0,hc,6.00,home,ft,1.21,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,6.00,away,ft,4.15,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,6.50,home,ft,1.17,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,6.50,away,ft,4.65,2
ryttLrpK,Arango E.,Jovic I.,0,0,hc,7.50,home,ft,1.12,1
ryttLrpK,Arango E.,Jovic I.,0,0,hc,7.50,away,ft,6.42,1
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,2.50,over,ft,2.555,2
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,2.50,under,ft,1.52,2
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,17.50,over,ft,1.21,2
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,17.50,under,ft,3.72,2
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,18.00,over,ft,1.31,2
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,18.00,under,ft,3.04,2
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,18.50,over,ft,1.357,3
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,18.50,under,ft,2.823,3
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,19.00,over,ft,1.42,2
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,19.00,under,ft,2.58,2
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,19.50,over,ft,1.568,5
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,19.50,under,ft,2.288,5
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,20.00,over,ft,1.645,4
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,20.00,under,ft,2.183,4
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,20.50,over,ft,1.733,6
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,20.50,under,ft,2.015,6
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,21.00,over,ft,1.855,4
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,21.00,under,ft,1.927,4
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,21.50,over,ft,1.943,6
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,21.50,under,ft,1.823,6
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,22.00,over,ft,2.08,4
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,22.00,under,ft,1.725,4
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,22.50,over,ft,2.154,5
Kjdl0ahl,Bartunkova N.,Jovic I.,1,1,ou,22.50,under,ft,1.62,5
