match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,2.50,over,ft,2.518,5
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,2.50,under,ft,1.47,5
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,15.50,over,ft,1.04,1
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,15.50,under,ft,7.78,1
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,16.50,over,ft,1.1,2
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,16.50,under,ft,6.06,2
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,17.50,over,ft,1.215,4
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,17.50,under,ft,3.618,4
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,18.00,over,ft,1.27,3
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,18.00,under,ft,3.2,3
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,18.50,over,ft,1.277,7
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,18.50,under,ft,3.331,7
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,19.00,over,ft,1.328,4
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,19.00,under,ft,2.902,4
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,19.50,over,ft,1.462,5
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,19.50,under,ft,2.466,5
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,20.00,over,ft,1.53,4
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,20.00,under,ft,2.31,4
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,20.50,over,ft,1.668,10
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,20.50,under,ft,2.099,10
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,21.00,over,ft,1.747,7
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,21.00,under,ft,2.02,7
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,21.50,over,ft,1.891,10
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,21.50,under,ft,1.873,10
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,22.00,over,ft,1.999,7
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,22.00,under,ft,1.76,7
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,22.50,over,ft,2.126,10
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,22.50,under,ft,1.654,10
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,23.00,over,ft,2.244,7
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,23.00,under,ft,1.581,7
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,23.50,over,ft,2.312,6
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,23.50,under,ft,1.525,6
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,24.00,over,ft,2.388,4
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,24.00,under,ft,1.475,4
hx1xprbJ,Montgomery R.,Krejcikova B.,,,ou,24.50,over,ft,2.447,7
