match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,2.50,over,ft,2.35,1
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,2.50,under,ft,1.65,1
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,17.50,over,ft,1.14,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,17.50,under,ft,4.15,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,18.00,over,ft,1.16,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,18.00,under,ft,3.86,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,18.50,over,ft,1.367,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,18.50,under,ft,3.127,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,19.00,over,ft,1.43,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,19.00,under,ft,2.82,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,19.50,over,ft,1.547,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,19.50,under,ft,2.493,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,20.00,over,ft,1.63,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,20.00,under,ft,2.28,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,20.50,over,ft,1.725,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,20.50,under,ft,2.15,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,21.00,over,ft,1.81,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,21.00,under,ft,2.033,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,21.50,over,ft,1.897,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,21.50,under,ft,1.945,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,22.00,over,ft,2.033,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,22.00,under,ft,1.81,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,22.50,over,ft,2.147,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,22.50,under,ft,1.722,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,23.00,over,ft,2.243,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,23.00,under,ft,1.663,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,23.50,over,ft,2.36,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,23.50,under,ft,1.6,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,24.00,over,ft,2.46,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,24.00,under,ft,1.55,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,24.50,over,ft,2.492,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,24.50,under,ft,1.55,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,25.00,over,ft,2.42,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,25.00,under,ft,1.42,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,25.50,over,ft,2.607,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,25.50,under,ft,1.413,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,26.50,over,ft,3.295,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,ou,26.50,under,ft,1.312,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,1.00,home,ft,1.5,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,1.00,away,ft,2.36,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-1.00,home,ft,2.05,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-1.00,away,ft,1.65,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,1.50,home,ft,1.267,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,1.50,away,ft,3.557,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-1.50,home,ft,2.655,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-1.50,away,ft,1.448,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,0,home,ft,1.62,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,0,away,ft,2.1,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,0.50,home,ft,1.7,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,0.50,away,ft,2.183,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-0.50,home,ft,1.798,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-0.50,away,ft,2.052,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,1.00,home,ft,1.65,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,1.00,away,ft,2.25,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-1.00,home,ft,1.837,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-1.00,away,ft,2.0,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,1.50,home,ft,1.603,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,1.50,away,ft,2.362,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-1.50,home,ft,1.905,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-1.50,away,ft,1.922,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,2.00,home,ft,1.56,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,2.00,away,ft,2.43,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-2.00,home,ft,1.973,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-2.00,away,ft,1.86,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,2.50,home,ft,1.447,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,2.50,away,ft,2.503,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-2.50,home,ft,2.067,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-2.50,away,ft,1.795,4
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,3.00,home,ft,1.33,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,3.00,away,ft,2.73,2
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-3.00,home,ft,2.19,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,-3.00,away,ft,1.7,3
AVksKpFl,Siegemund L.,Sramkova R.,0,0,hc,3.50,home,ft,1.395,2
