match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,2.50,over,ft,2.258,4
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,2.50,under,ft,1.643,4
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,16.50,over,ft,1.03,1
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,16.50,under,ft,8.47,1
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,17.50,over,ft,1.15,4
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,17.50,under,ft,4.428,4
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,18.00,over,ft,1.21,3
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,18.00,under,ft,3.74,3
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,18.50,over,ft,1.133,6
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,18.50,under,ft,5.038,6
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,19.00,over,ft,1.132,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,19.00,under,ft,4.78,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,19.50,over,ft,1.252,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,19.50,under,ft,3.518,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,20.00,over,ft,1.28,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,20.00,under,ft,3.342,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,20.50,over,ft,1.406,7
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,20.50,under,ft,2.797,7
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,21.00,over,ft,1.428,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,21.00,under,ft,2.682,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,21.50,over,ft,1.536,8
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,21.50,under,ft,2.377,8
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,22.00,over,ft,1.641,7
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,22.00,under,ft,2.236,7
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,22.50,over,ft,1.827,9
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,22.50,under,ft,1.959,9
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,23.00,over,ft,1.91,7
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,23.00,under,ft,1.879,7
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,23.50,over,ft,2.028,9
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,23.50,under,ft,1.747,9
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,24.00,over,ft,2.051,7
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,24.00,under,ft,1.739,7
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,24.50,over,ft,2.053,9
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,24.50,under,ft,1.701,9
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,25.00,over,ft,2.126,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,25.00,under,ft,1.638,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,25.50,over,ft,2.205,6
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,25.50,under,ft,1.587,6
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,26.00,over,ft,2.336,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,26.00,under,ft,1.512,5
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,26.50,over,ft,2.478,6
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,26.50,under,ft,1.478,6
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,27.00,over,ft,2.532,4
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,27.00,under,ft,1.427,4
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,27.50,over,ft,2.61,4
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,27.50,under,ft,1.402,4
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,28.50,over,ft,2.97,1
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,28.50,under,ft,1.33,1
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,29.50,over,ft,3.35,1
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,29.50,under,ft,1.27,1
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,30.50,over,ft,3.82,1
rVLW9tkS,Sabalenka A.,Rybakina E.,2,2,ou,30.50,under,ft,1.21,1
