match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,2.50,over,ft,2.89,5
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,2.50,under,ft,1.378,5
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,14.50,over,ft,1.03,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,14.50,under,ft,8.01,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,15.50,over,ft,1.09,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,15.50,under,ft,5.86,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,16.50,over,ft,1.19,6
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,16.50,under,ft,4.045,6
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,17.00,over,ft,1.238,4
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,17.00,under,ft,3.425,4
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,17.50,over,ft,1.372,5
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,17.50,under,ft,2.784,5
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,18.00,over,ft,1.438,4
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,18.00,under,ft,2.527,4
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,18.50,over,ft,1.558,9
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,18.50,under,ft,2.299,9
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,19.00,over,ft,1.653,6
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,19.00,under,ft,2.15,6
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,19.50,over,ft,1.804,10
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,19.50,under,ft,1.953,10
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,20.00,over,ft,1.897,6
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,20.00,under,ft,1.84,6
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,20.50,over,ft,2.012,9
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,20.50,under,ft,1.721,9
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,21.00,over,ft,2.145,6
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,21.00,under,ft,1.64,6
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,21.50,over,ft,2.191,8
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,21.50,under,ft,1.6,8
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,22.00,over,ft,2.388,4
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,22.00,under,ft,1.468,4
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,22.50,over,ft,2.523,7
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,22.50,under,ft,1.449,7
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,23.00,over,ft,2.64,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,23.00,under,ft,1.37,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,23.50,over,ft,2.71,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,23.50,under,ft,1.39,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,24.50,over,ft,3.033,3
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,24.50,under,ft,1.347,3
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,25.50,over,ft,3.21,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,25.50,under,ft,1.29,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,26.50,over,ft,3.3,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,26.50,under,ft,1.27,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,27.50,over,ft,3.73,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,27.50,under,ft,1.21,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,28.50,over,ft,4.32,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,28.50,under,ft,1.16,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,29.50,over,ft,5.09,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,29.50,under,ft,1.12,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,30.50,over,ft,6.04,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,30.50,under,ft,1.08,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,31.50,over,ft,7.28,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,31.50,under,ft,1.05,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,32.50,over,ft,8.71,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,32.50,under,ft,1.02,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,33.50,over,ft,9.82,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,ou,33.50,under,ft,1.02,1
MesFy0PE,Andreeva M.,Potapova A.,2,2,hc,1.50,home,ft,1.101,7
MesFy0PE,Andreeva M.,Potapova A.,2,2,hc,1.50,away,ft,6.23,7
MesFy0PE,Andreeva M.,Potapova A.,2,2,hc,-1.50,home,ft,1.684,9
MesFy0PE,Andreeva M.,Potapova A.,2,2,hc,-1.50,away,ft,2.087,9
MesFy0PE,Andreeva M.,Potapova A.,2,2,hc,-1.50,home,ft,1.308,5
