match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,19.50,over,ft,1.53,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,19.50,under,ft,2.5,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,20.00,over,ft,1.6,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,20.00,under,ft,2.38,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,20.50,over,ft,1.73,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,20.50,under,ft,2.16,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,21.00,over,ft,1.83,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,21.00,under,ft,2.04,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,21.50,over,ft,1.96,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,21.50,under,ft,1.96,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,22.00,over,ft,2.07,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,22.00,under,ft,1.81,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,22.50,over,ft,2.19,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,22.50,under,ft,1.71,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,23.00,over,ft,2.29,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,23.00,under,ft,1.64,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,23.50,over,ft,2.34,1
ObgbzbH3,Babos T.,Baindl K.,2,2,ou,23.50,under,ft,1.6,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,0,home,ft,1.58,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,0,away,ft,2.38,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-1.00,home,ft,1.61,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-1.00,away,ft,2.32,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,1.50,home,ft,1.4,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,1.50,away,ft,2.75,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-1.50,home,ft,1.66,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-1.50,away,ft,2.24,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-2.00,home,ft,1.73,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-2.00,away,ft,2.16,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-2.50,home,ft,1.81,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-2.50,away,ft,2.07,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-3.00,home,ft,1.95,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-3.00,away,ft,1.97,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,3.50,home,ft,1.29,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,3.50,away,ft,3.24,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-3.50,home,ft,2.03,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-3.50,away,ft,1.84,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-4.00,home,ft,2.26,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-4.00,away,ft,1.66,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-4.50,home,ft,2.43,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-4.50,away,ft,1.56,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,5.50,home,ft,1.11,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,5.50,away,ft,6.0,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-6.50,home,ft,5.0,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-6.50,away,ft,1.14,1
ObgbzbH3,Babos T.,Baindl K.,2,2,hc,-8.50,home,ft,11.0,1
