"date","club","country","elo"
"2000-07-01","Aachen","GER","1453.60"
"2000-07-01","Aalborg","DEN","1482.61"
"2000-07-01","Aalst","BEL","1337.53"
"2000-07-01","Aarhus","DEN","1381.46"
"2000-07-01","Aberdeen","SCO","1360.43"
"2000-07-01","Adanaspor","TUR","1380.76"
"2000-07-01","AEK","GRE","1599.31"
"2000-07-01","AIK","SWE","1563.87"
"2000-07-01","Ajaccio","FRA","1470.87"
"2000-07-01","Ajax","NED","1604.75"
"2000-07-01","Akademisk","DEN","1474.57"
"2000-07-01","Alanya","RUS","1440.68"
"2000-07-01","Alaves","ESP","1773.22"
"2000-07-01","Albacete","ESP","1578.79"
"2000-07-01","Altay","TUR","1353.97"
"2000-07-01","Alverca","POR","1396.29"
"2000-07-01","Alzano","ITA","1473.80"
"2000-07-01","Amica Wronki","POL","1442.23"
"2000-07-01","Amiens","FRA","1414.93"
"2000-07-01","Anderlecht","BEL","1632.59"
"2000-07-01","Ankaraguecue","TUR","1374.19"
"2000-07-01","Antalyaspor","TUR","1370.64"
"2000-07-01","Anzhi","RUS","1390.24"
"2000-07-01","Apollon","GRE","1261.52"
"2000-07-01","Arges Pitesti","ROM","1390.51"
"2000-07-01","Aris","GRE","1421.40"
"2000-07-01","Arsenal","ENG","1871.66"
"2000-07-01","Aston Villa","ENG","1728.15"
"2000-07-01","Astra","ROM","1298.44"
"2000-07-01","Atalanta","ITA","1631.75"
"2000-07-01","Ath Bilbao","ESP","1778.66"
"2000-07-01","Ath Madrid","ESP","1713.55"
"2000-07-01","Atletico B","ESP","1562.54"
"2000-07-01","Austria Wien","AUT","1477.62"
"2000-07-01","Auxerre","FRA","1635.58"
"2000-07-01","AZ Alkmaar","NED","1508.47"
"2000-07-01","Bacau","ROM","1363.13"
"2000-07-01","Badajoz","ESP","1555.70"
"2000-07-01","Barcelona","ESP","1887.37"
"2000-07-01","Bari","ITA","1659.61"
"2000-07-01","Barnsley","ENG","1562.94"
"2000-07-01","Bastia","FRA","1656.37"
"2000-07-01","Bayern Munich","GER","1867.24"
"2000-07-01","Beerschot VA","BEL","1485.53"
"2000-07-01","Beira Mar","POR","1366.01"
"2000-07-01","Belenenses","POR","1387.75"
"2000-07-01","Benfica","POR","1613.20"
"2000-07-01","Besiktas","TUR","1617.19"
"2000-07-01","Betis","ESP","1711.35"
"2000-07-01","Beveren","BEL","1351.74"
"2000-07-01","Bielefeld","GER","1600.83"
"2000-07-01","Birmingham","ENG","1560.75"
"2000-07-01","Bistrita","ROM","1333.82"
"2000-07-01","Blackburn","ENG","1527.02"
"2000-07-01","Boavista","POR","1563.62"
"2000-07-01","Bochum","GER","1587.32"
"2000-07-01","Bodoe Glimt","NOR","1437.36"
"2000-07-01","Bologna","ITA","1705.30"
"2000-07-01","Bolton","ENG","1574.41"
"2000-07-01","Bordeaux","FRA","1734.34"
"2000-07-01","Bradford","ENG","1578.67"
"2000-07-01","Brann","NOR","1529.66"
"2000-07-01","Brasov","ROM","1257.27"
"2000-07-01","Bregenz","AUT","1367.91"
"2000-07-01","Brescia","ITA","1618.26"
"2000-07-01","Brondby","DEN","1501.29"
"2000-07-01","Bryne","NOR","1300.71"
"2000-07-01","Bursaspor","TUR","1375.30"
"2000-07-01","Caen","FRA","1521.60"
"2000-07-01","Cagliari","ITA","1606.65"
"2000-07-01","Cambuur","NED","1367.90"
"2000-07-01","Campomaiorense","POR","1383.50"
"2000-07-01","Cannes","FRA","1461.50"
"2000-07-01","Celta","ESP","1810.33"
"2000-07-01","Celtic","SCO","1586.26"
"2000-07-01","Cesena","ITA","1543.18"
"2000-07-01","Charleroi","BEL","1346.09"
"2000-07-01","Charlton","ENG","1608.72"
"2000-07-01","Chateauroux","FRA","1508.37"
"2000-07-01","Chelsea","ENG","1800.12"
"2000-07-01","Chemnitz","GER","1443.56"
"2000-07-01","Chievo","ITA","1535.41"
"2000-07-01","Club Brugge","BEL","1592.34"
"2000-07-01","Compostela","ESP","1578.70"
"2000-07-01","Cordoba","ESP","1540.15"
"2000-07-01","Cosenza","ITA","1515.73"
"2000-07-01","Cottbus","GER","1547.35"
"2000-07-01","Coventry","ENG","1635.56"
"2000-07-01","Craiova 1948","ROM","1322.65"
"2000-07-01","Creteil","FRA","1439.34"
"2000-07-01","Crewe","ENG","1426.45"
"2000-07-01","Crystal Palace","ENG","1461.20"
"2000-07-01","CSKA Moskva","RUS","1458.06"
"2000-07-01","Cuiseaux-Louhans","FRA","1343.14"
"2000-07-01","Den Bosch","NED","1364.60"
"2000-07-01","Denizlispor","TUR","1365.52"
"2000-07-01","Derby","ENG","1636.03"
"2000-07-01","Dinamo Bucuresti","ROM","1559.77"
"2000-07-01","Dortmund","GER","1646.19"
"2000-07-01","Duisburg","GER","1553.58"
"2000-07-01","Dundee","SCO","1387.07"
"2000-07-01","Dundee United","SCO","1339.37"
"2000-07-01","Dynamo Moskva","RUS","1521.53"
"2000-07-01","Eibar","ESP","1576.33"
"2000-07-01","Ein Frankfurt","GER","1643.06"
"2000-07-01","Elche","ESP","1531.62"
"2000-07-01","Elfsborg","SWE","1418.86"
"2000-07-01","Empoli","ITA","1559.98"
"2000-07-01","Erzurumspor","TUR","1340.97"
"2000-07-01","Esbjerg","DEN","1306.13"
"2000-07-01","Espanol","ESP","1785.89"
"2000-07-01","Est Amadora","POR","1472.09"
"2000-07-01","Ethnikos Asteras","GRE","1328.21"
"2000-07-01","Everton","ENG","1685.50"
"2000-07-01","Extensiv Craiova","ROM","1094.72"
"2000-07-01","Extremadura","ESP","1604.05"
"2000-07-01","Fakel Voronezh","RUS","1297.97"
"2000-07-01","Farense","POR","1393.12"
"2000-07-01","Farul","ROM","1286.26"
"2000-07-01","FC Kobenhavn","DEN","1450.09"
"2000-07-01","FC Koln","GER","1580.98"
"2000-07-01","Fenerbahce","TUR","1558.18"
"2000-07-01","Fermana","ITA","1428.63"
"2000-07-01","Feyenoord","NED","1663.48"
"2000-07-01","Fiorentina","ITA","1805.00"
"2000-07-01","For Sittard","NED","1486.85"
"2000-07-01","Fortuna Koeln","GER","1450.42"
"2000-07-01","Freiburg","GER","1618.10"
"2000-07-01","Fulham","ENG","1487.33"
"2000-07-01","GAIS","SWE","1316.56"
"2000-07-01","GAK","AUT","1422.79"
"2000-07-01","Galatasaray","TUR","1766.41"
"2000-07-01","Gaziantepspor","TUR","1494.91"
"2000-07-01","Geel","BEL","1337.89"
"2000-07-01","Genclerbirligi","TUR","1478.22"
"2000-07-01","Genk","BEL","1493.76"
"2000-07-01","Genoa","ITA","1595.12"
"2000-07-01","Gent","BEL","1508.29"
"2000-07-01","Getafe","ESP","1502.74"
"2000-07-01","Gil Vicente","POR","1464.45"
"2000-07-01","Goeteborg","SWE","1482.79"
"2000-07-01","Gornik","POL","1388.74"
"2000-07-01","Goztep","TUR","1264.10"
"2000-07-01","Graafschap","NED","1425.43"
"2000-07-01","Greuther Furth","GER","1512.87"
"2000-07-01","Grimsby","ENG","1415.65"
"2000-07-01","Grodzisk","POL","1348.63"
"2000-07-01","Gueugnon","FRA","1541.08"
"2000-07-01","Guimaraes","POR","1472.70"
"2000-07-01","Guingamp","FRA","1578.51"
"2000-07-01","Haecken","SWE","1326.51"
"2000-07-01","Haka","FIN","1254.54"
"2000-07-01","Halmstad","SWE","1545.07"
"2000-07-01","Hamburg","GER","1716.30"
"2000-07-01","Hammarby","SWE","1411.58"
"2000-07-01","Hannover","GER","1504.93"
"2000-07-01","Hansa Rostock","GER","1631.68"
"2000-07-01","Harelbeke","BEL","1389.95"
"2000-07-01","Haugesund","NOR","1302.73"
"2000-07-01","Hearts","SCO","1467.25"
"2000-07-01","Heerenveen","NED","1600.77"
"2000-07-01","Helsingborg","SWE","1535.85"
"2000-07-01","Herfolge","DEN","1451.15"
"2000-07-01","Hertha","GER","1663.24"
"2000-07-01","Hibernian","SCO","1370.68"
"2000-07-01","HJK Helsinki","FIN","1327.37"
"2000-07-01","Huddersfield","ENG","1495.81"
"2000-07-01","Inter","ITA","1794.38"
"2000-07-01","Ionikos","GRE","1412.91"
"2000-07-01","Ipswich","ENG","1638.03"
"2000-07-01","Iraklis","GRE","1405.66"
"2000-07-01","Istanbulspor","TUR","1386.25"
"2000-07-01","Jokerit","FIN","1288.26"
"2000-07-01","Juventus","ITA","1852.32"
"2000-07-01","Kaiserslautern","GER","1669.80"
"2000-07-01","Kalamata","GRE","1351.57"
"2000-07-01","Karlsruhe","GER","1446.97"
"2000-07-01","Kavala","GRE","1283.44"
"2000-07-01","Kilmarnock","SCO","1408.69"
"2000-07-01","Kocaelispor","TUR","1384.14"
"2000-07-01","Kryliya Sovetov","RUS","1364.88"
"2000-07-01","La Coruna","ESP","1844.94"
"2000-07-01","Las Palmas","ESP","1652.88"
"2000-07-01","LASK","AUT","1447.37"
"2000-07-01","Laval","FRA","1496.87"
"2000-07-01","Lazio","ITA","1894.08"
"2000-07-01","Le Havre","FRA","1578.00"
"2000-07-01","Le Mans","FRA","1477.89"
"2000-07-01","Lecce","ITA","1635.02"
"2000-07-01","Lech","POL","1368.07"
"2000-07-01","Leeds","ENG","1782.38"
"2000-07-01","Leganes","ESP","1572.61"
"2000-07-01","Legia","POL","1534.50"
"2000-07-01","Leicester","ENG","1687.84"
"2000-07-01","Leiria","POR","1451.38"
"2000-07-01","Lens","FRA","1730.89"
"2000-07-01","Levante","ESP","1549.41"
"2000-07-01","Leverkusen","GER","1822.45"
"2000-07-01","Lierse","BEL","1471.19"
"2000-07-01","Lille","FRA","1630.81"
"2000-07-01","Lillestrom","NOR","1489.74"
"2000-07-01","Liverpool","ENG","1770.10"
"2000-07-01","LKS","POL","1366.87"
"2000-07-01","Lleida","ESP","1606.60"
"2000-07-01","Logrones","ESP","1532.15"
"2000-07-01","Lok Moskva","RUS","1618.95"
"2000-07-01","Lok Nizhny","RUS","1288.22"
"2000-07-01","Lokeren","BEL","1467.34"
"2000-07-01","Lommel","BEL","1325.95"
"2000-07-01","Lorient","FRA","1491.14"
"2000-07-01","Lubin","POL","1449.38"
"2000-07-01","Lustenau","AUT","1248.11"
"2000-07-01","Lyngby","DEN","1410.72"
"2000-07-01","Lyon","FRA","1702.60"
"2000-07-01","Maastricht","NED","1364.36"
"2000-07-01","Mainz","GER","1504.53"
"2000-07-01","Malaga","ESP","1736.42"
"2000-07-01","Mallorca","ESP","1800.35"
"2000-07-01","Man City","ENG","1579.94"
"2000-07-01","Man United","ENG","1931.90"
"2000-07-01","Mannheim","GER","1441.10"
"2000-07-01","Maritimo","POR","1490.66"
"2000-07-01","Marseille","FRA","1686.34"
"2000-07-01","Mechelen","BEL","1355.02"
"2000-07-01","Merida","ESP","1628.57"
"2000-07-01","Metz","FRA","1673.11"
"2000-07-01","MGladbach","GER","1580.48"
"2000-07-01","Middlesbrough","ENG","1679.13"
"2000-07-01","Milan","ITA","1841.61"
"2000-07-01","Molde","NOR","1560.88"
"2000-07-01","Monaco","FRA","1778.03"
"2000-07-01","Montpellier","FRA","1606.00"
"2000-07-01","Monza","ITA","1536.85"
"2000-07-01","Moss","NOR","1395.01"
"2000-07-01","Motherwell","SCO","1415.20"
"2000-07-01","Mouscron","BEL","1536.73"
"2000-07-01","Munich 1860","GER","1671.74"
"2000-07-01","Nancy","FRA","1633.80"
"2000-07-01","Nantes","FRA","1664.36"
"2000-07-01","Napoli","ITA","1598.18"
"2000-07-01","Newcastle","ENG","1712.14"
"2000-07-01","Nice","FRA","1518.06"
"2000-07-01","Nijmegen","NED","1382.29"
"2000-07-01","Nimes","FRA","1449.91"
"2000-07-01","Niort","FRA","1469.16"
"2000-07-01","Norrkoeping","SWE","1454.88"
"2000-07-01","Norwich","ENG","1464.67"
"2000-07-01","Nottm Forest","ENG","1512.09"
"2000-07-01","Noworossisk","RUS","1477.09"
"2000-07-01","Numancia","ESP","1690.13"
"2000-07-01","Nurnberg","GER","1579.35"
"2000-07-01","Oberhausen","GER","1529.77"
"2000-07-01","Odd Grenland","NOR","1411.06"
"2000-07-01","Odense","DEN","1401.37"
"2000-07-01","Odra Wodzislaw","POL","1402.80"
"2000-07-01","Oerebro","SWE","1407.13"
"2000-07-01","Oergryte","SWE","1462.59"
"2000-07-01","Offenbach","GER","1408.39"
"2000-07-01","OFI","GRE","1475.65"
"2000-07-01","Olympiakos","GRE","1758.33"
