,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nfl.g.20210909027,2021-09-09-07:00,Dallas,Tampa Bay,"-9, O/U 52.5",52.5,45.48,54.45,-110.0,1.910,True,52.5,54.52,45.55,-110.0,1.910,False,350.0,4.500,12.7,10.51,False,-450.0,1.220,87.3,89.49,True,9,-110.0,1.910,24.31,25.98,True,-9,-110.0,1.910,75.69,74.02,False
0,nfl.g.20210912001,2021-09-12-07:00,Philadelphia,Atlanta,"-3.5, O/U 48.5",48.5,94.77,91.39,-110.0,1.910,False,48.5,5.23,8.61,-110.0,1.910,True,145.0,2.450,35.43,16.13,True,-175.0,1.570,64.56,83.87,False,3.5,-110.0,1.910,45.16,41.19,True,-3.5,-110.0,1.910,54.84,58.81,False
0,nfl.g.20210912002,2021-09-12-07:00,Pittsburgh,Buffalo,"-6.5, O/U 48",48,87.16,90.98,-110.0,1.910,False,48,12.84,9.02,-110.0,1.910,True,225.0,3.250,28.3,12.53,True,-275.0,1.360,71.69,87.47,False,6.5,-110.0,1.910,30.38,43.7,True,-6.5,-110.0,1.910,69.62,56.3,False
0,nfl.g.20210912004,2021-09-12-07:00,Minnesota,Cincinnati,"-3, O/U 47",47,,,-110.0,1.910,True,47,,,-110.0,1.910,False,-150.0,1.670,74.52,80.41,False,125.0,2.250,25.48,19.59,True,-3,-105.0,1.950,79.35,66.23,False,3,-115.0,1.870,20.65,33.77,True
0,nfl.g.20210912008,2021-09-12-07:00,San Francisco,Detroit,"-7.5, O/U 45.5",45.5,83.16,92.43,-110.0,1.910,True,45.5,16.84,7.57,-110.0,1.910,False,-350.0,1.280,77.74,90.98,True,280.0,3.800,22.26,9.02,False,-7.5,-105.0,1.950,87.48,82.41,True,7.5,-115.0,1.870,12.52,17.59,False
0,nfl.g.20210912010,2021-09-12-07:00,Arizona,Tennessee,"-3, O/U 54",54,,,-110.0,1.910,False,54,,,-110.0,1.910,True,120.0,2.200,25.95,16.19,True,-145.0,1.700,74.06,83.81,False,3,-115.0,1.870,39.65,29.04,True,-3,-105.0,1.950,60.35,70.96,False
0,nfl.g.20210912011,2021-09-12-07:00,Seattle,Indianapolis,"-3, O/U 49.5",49.5,73.45,91.38,-110.0,1.910,False,49.5,26.55,8.62,-110.0,1.910,True,-150.0,1.670,72.31,70.22,True,125.0,2.250,27.68,29.78,False,-3,-110.0,1.910,73.13,67.76,True,3,-110.0,1.910,26.87,32.24,False
0,nfl.g.20210912012,2021-09-12-07:00,Cleveland,Kansas City,"-5.5, O/U 54.5",54.5,81.57,92.06,-110.0,1.910,True,54.5,18.43,7.94,-110.0,1.910,False,190.0,2.900,17.46,8.37,False,-250.0,1.420,82.53,91.63,True,5.5,-110.0,1.910,47.14,38.36,True,-5.5,-110.0,1.910,52.86,61.64,False
0,nfl.g.20210912014,2021-09-12-07:00,Chicago,LA Rams,"-9, O/U 46.5",46.5,44.19,62.71,-110.0,1.910,True,46.5,55.81,37.29,-110.0,1.910,False,320.0,4.200,10.8,9.0,False,-400.0,1.250,89.2,91.0,True,9,-110.0,1.910,,,False,-9,-110.0,1.910,,,True
0,nfl.g.20210912017,2021-09-12-07:00,Miami,New England,"-3.5, O/U 43.5",43.5,,,-110.0,1.910,False,43.5,,,-110.0,1.910,True,155.0,2.550,42.41,16.9,True,-190.0,1.530,57.59,83.1,False,3.5,-110.0,1.910,59.68,51.49,True,-3.5,-110.0,1.910,40.32,48.51,False
