,ATP,AvgL,AvgW,B&WL,B&WW,B365L,B365W,Best of,CBL,CBW,Comment,Court,Date,EXL,EXW,GBL,GBW,IWL,IWW,L1,L2,L3,L4,L5,LBL,LBW,LPts,LRank,Location,Loser,Lsets,MaxL,MaxW,PSL,PSW,Round,SBL,SBW,SJL,SJW,Series,Surface,Tournament,UBL,UBW,W1,W2,W3,W4,W5,WPts,WRank,Winner,Wsets
0,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,4.0,2.0,,,,,,,77,Adelaide,Ljubicic I.,0,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,63,Dosedel S.,2.0
1,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,3.0,3.0,,,,,,,56,Adelaide,Clement A.,0,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,5,Enqvist T.,2.0
2,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,7.0,5.0,3.0,,,,,,655,Adelaide,Baccanello P.,1,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,7.0,6.0,,,,40,Escude N.,2.0
3,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,1.0,4.0,,,,,,,87,Adelaide,Knippschild J.,0,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,65,Federer R.,2.0
4,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,7.0,4.0,,,,,,198,Adelaide,Woodbridge T.,1,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,7.0,5.0,6.0,,,,81,Fromberg R.,2.0
5,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,6.0,4.0,,,,,,105,Adelaide,Arthurs W.,1,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,3.0,7.0,6.0,,,,58,Gambill J.M.,2.0
6,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,2.0,1.0,,,,,,,51,Adelaide,Ilie A.,0,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,26,Grosjean S.,2.0
7,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,4.0,6.0,,,,,,,218,Adelaide,Balcells J.,0,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,7.0,,,,,11,Henman T.,2.0
8,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,3.0,6.0,1.0,,,,,,129,Adelaide,Woodforde M.,1,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,2.0,6.0,,,,24,Hewitt L.,2.0
9,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,7.0,4.0,,,,,,351,Adelaide,Tebbutt M.,1,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,7.0,6.0,6.0,,,,134,Lisnard J.,2.0
10,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,2.0,2.0,,,,,,,21,Adelaide,Spadea V.,0,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,55,Martin A.,2.0
11,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,4.0,4.0,,,,,,,155,Adelaide,Draper S.,0,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,15,Norman M.,2.0
12,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,3.0,3.0,,,,,,122,Adelaide,Huet S.,1,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,3.0,6.0,6.0,,,,208,Petrovic D.,2.0
13,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,4.0,6.0,2.0,,,,,,79,Adelaide,Pozzi G.,1,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,2.0,6.0,,,,142,Sekulov J.,2.0
14,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,3.0,1.0,,,,,,,20,Adelaide,Hrbaty D.,0,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,84,Stoltenberg J.,2.0
15,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,3.0,4.0,,,,,,88,Adelaide,Goldstein P.,1,,,,,1st Round,,,,,International,Hard,Australian Hardcourt Championships,,,3.0,6.0,6.0,,,,227,Vinck C.,2.0
16,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,4.0,,,,,,,65,Adelaide,Federer R.,0,,,,,2nd Round,,,,,International,Hard,Australian Hardcourt Championships,,,7.0,6.0,,,,,5,Enqvist T.,2.0
17,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,4.0,,,,,,,63,Adelaide,Dosedel S.,0,,,,,2nd Round,,,,,International,Hard,Australian Hardcourt Championships,,,7.0,6.0,,,,,40,Escude N.,2.0
18,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,6.0,2.0,,,,,,58,Adelaide,Gambill J.M.,1,,,,,2nd Round,,,,,International,Hard,Australian Hardcourt Championships,,,3.0,7.0,6.0,,,,26,Grosjean S.,2.0
19,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,4.0,2.0,,,,,,134,Adelaide,Lisnard J.,1,,,,,2nd Round,,,,,International,Hard,Australian Hardcourt Championships,,,3.0,6.0,6.0,,,,11,Henman T.,2.0
20,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,0.0,2.0,,,,,,,208,Adelaide,Petrovic D.,0,,,,,2nd Round,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,24,Hewitt L.,2.0
21,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,6.0,,,,,,,142,Adelaide,Sekulov J.,0,,,,,2nd Round,,,,,International,Hard,Australian Hardcourt Championships,,,7.0,7.0,,,,,55,Martin A.,2.0
22,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,5.0,4.0,,,,,,,81,Adelaide,Fromberg R.,0,,,,,2nd Round,,,,,International,Hard,Australian Hardcourt Championships,,,7.0,6.0,,,,,15,Norman M.,2.0
23,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,4.0,4.0,,,,,,227,Adelaide,Vinck C.,1,,,,,2nd Round,,,,,International,Hard,Australian Hardcourt Championships,,,3.0,6.0,6.0,,,,84,Stoltenberg J.,2.0
24,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,5.0,,,,,,,26,Adelaide,Grosjean S.,0,,,,,Quarterfinals,,,,,International,Hard,Australian Hardcourt Championships,,,7.0,7.0,,,,,5,Enqvist T.,2.0
25,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,3.0,1.0,,,,,,,11,Adelaide,Henman T.,0,,,,,Quarterfinals,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,40,Escude N.,2.0
26,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,2.0,2.0,,,,,,,84,Adelaide,Stoltenberg J.,0,,,,,Quarterfinals,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,24,Hewitt L.,2.0
27,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,4.0,3.0,,,,,,,55,Adelaide,Martin A.,0,,,,,Quarterfinals,,,,,International,Hard,Australian Hardcourt Championships,,,6.0,6.0,,,,,15,Norman M.,2.0
28,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,2.0,2.0,,,,,,15,Adelaide,Norman M.,1,,,,,Semifinals,,,,,International,Hard,Australian Hardcourt Championships,,,3.0,6.0,6.0,,,,5,Enqvist T.,2.0
29,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,1.0,4.0,,,,,,40,Adelaide,Escude N.,1,,,,,Semifinals,,,,,International,Hard,Australian Hardcourt Championships,,,3.0,6.0,6.0,,,,24,Hewitt L.,2.0
30,1,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,6.0,3.0,2.0,,,,,,5,Adelaide,Enqvist T.,1,,,,,The Final,,,,,International,Hard,Australian Hardcourt Championships,,,3.0,6.0,6.0,,,,24,Hewitt L.,2.0
31,2,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,4.0,4.0,,,,,,,1198,Chennai,Kumar S.,0,,,,,1st Round,,,,,International,Hard,Gold Flake Open,,,6.0,6.0,,,,,94,Agenor R.,2.0
32,2,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,4.0,6.0,1.0,,,,,,124,Chennai,Popp A.,1,,,,,1st Round,,,,,International,Hard,Gold Flake Open,,,6.0,4.0,6.0,,,,116,Behrend T.,2.0
33,2,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,3.0,0.0,,,,,,,120,Chennai,Rochus C.,0,,,,,1st Round,,,,,International,Hard,Gold Flake Open,,,6.0,6.0,,,,,104,Damm M.,2.0
34,2,,,,,,,3,,,Completed,Outdoor,2000-01-03,,,,,,,2.0,6.0,,,,,,,67,Chennai,Black B.,0,,,,,1st Round,,,,,International,Hard,Gold Flake Open,,,6.0,7.0,,,,,162,Delgado J.,2.0
