,AvgL,AvgW,B365L,B365W,Best of,CBL,CBW,Comment,Court,Date,EXL,EXW,L1,L2,L3,LBL,LBW,LPts,LRank,Location,Loser,Lsets,MaxL,MaxW,PSL,PSW,Round,SJL,SJW,Surface,Tier,Tournament,UBL,UBW,W1,W2,W3,WPts,WRank,WTA,Winner,Wsets
0,,,3,1.33,3,2.9,1.38,Completed,Outdoor,2007-01-01,,,1.0,1.0,,,,90.5,272.0,Auckland,Baker L.,0.0,,,,,1st Round,,,Hard,Tier 4,ASB Classic,3.05,1.35,6.0,6.0,,332.25,81.0,1,Sun T.T.,2.0
1,,,1.22,3.75,3,1.18,4.5,Completed,Outdoor,2007-01-01,1.25,3.75,1.0,7.0,2.0,,,1000.0,16.0,Auckland,Myskina A.,1.0,,,1.244,4.7,1st Round,,,Hard,Tier 4,ASB Classic,1.25,3.75,6.0,6.0,6.0,401.75,59.0,1,Dulko G.,2.0
2,,,2,1.72,3,1.85,1.9,Completed,Outdoor,2007-01-01,1.95,1.8,1.0,1.0,,,,324.75,84.0,Auckland,Birnerova E.,0.0,,,2.12,1.82,1st Round,,,Hard,Tier 4,ASB Classic,,,6.0,6.0,,418.5,56.0,1,Loit E.,2.0
3,,,1.83,1.83,3,1.66,2.15,Completed,Outdoor,2007-01-01,1.75,2.0,5.0,2.0,,,,405.0,57.0,Auckland,Nakamura A.,0.0,,,1.87,2.05,1st Round,,,Hard,Tier 4,ASB Classic,,,7.0,6.0,,365.5,70.0,1,Craybas J.,2.0
4,,,4.5,1.16,3,4.85,1.16,Completed,Outdoor,2007-01-01,4.25,1.2,6.0,3.0,,,,152.0,180.0,Auckland,Morita A.,0.0,,,5.9,1.185,1st Round,,,Hard,Tier 4,ASB Classic,4.3,1.2,7.0,6.0,,951.0,18.0,1,Bartoli M.,2.0
5,,,1.5,2.5,3,1.5,2.5,Completed,Outdoor,2007-01-01,1.5,2.5,3.0,7.0,2.0,,,455.25,44.0,Auckland,Perry S.,1.0,,,1.667,2.4,1st Round,,,Hard,Tier 4,ASB Classic,,,6.0,5.0,6.0,349.0,75.0,1,Pin C.,2.0
6,,,2.87,1.36,3,3.5,1.28,Completed,Outdoor,2007-01-01,3.0,1.36,3.0,6.0,1.0,,,422.75,51.0,Auckland,Kostanic J.,1.0,,,3.81,1.322,1st Round,,,Hard,Tier 4,ASB Classic,3.0,1.36,6.0,4.0,6.0,538.75,36.0,1,Daniilidou E.,2.0
7,,,1.5,2.5,3,1.43,2.7,Completed,Outdoor,2007-01-01,,,3.0,6.0,5.0,,,312.0,90.0,Auckland,Tu M.,1.0,,,,,1st Round,,,Hard,Tier 4,ASB Classic,,,6.0,4.0,7.0,171.0,162.0,1,Erakovic M.,2.0
8,,,1.83,1.83,3,1.9,1.85,Completed,Outdoor,2007-01-01,1.83,1.91,6.0,1.0,,,,343.5,78.0,Auckland,Kanepi K.,0.0,,,1.917,1.99,1st Round,,,Hard,Tier 4,ASB Classic,1.96,1.8,7.0,6.0,,319.0,88.0,1,Razzano V.,2.0
9,,,2.37,1.53,3,2.2,1.63,Completed,Outdoor,2007-01-01,2.2,1.63,6.0,1.0,,,,204.5,140.0,Auckland,Johansson M.,0.0,,,2.63,1.578,1st Round,,,Hard,Tier 4,ASB Classic,2.33,1.57,7.0,6.0,,349.75,74.0,1,Laine E.,2.0
10,,,2,1.72,3,2.0,1.75,Completed,Outdoor,2007-01-02,2.0,1.75,5.0,0.0,,,,345.0,76.0,Auckland,Bychkova E.,0.0,,,2.14,1.806,1st Round,,,Hard,Tier 4,ASB Classic,,,7.0,6.0,,210.75,135.0,1,Meusburger Y.,2.0
11,,,2.25,1.57,3,2.25,1.6,Completed,Outdoor,2007-01-02,2.3,1.57,6.0,1.0,1.0,,,545.0,34.0,Auckland,Muller M.,1.0,,,2.7,1.556,1st Round,,,Hard,Tier 4,ASB Classic,2.28,1.6,3.0,6.0,6.0,155.75,178.0,1,Suarez P.,2.0
12,,,3.25,1.28,3,5.4,1.13,Completed,Outdoor,2007-01-02,,,1.0,6.0,2.0,,,181.5,153.0,Auckland,Cibulkova D.,1.0,,,5.91,1.185,1st Round,,,Hard,Tier 4,ASB Classic,5.25,1.14,6.0,3.0,6.0,986.0,17.0,1,Hantuchova D.,2.0
13,,,2.1,1.66,3,2.1,1.69,Completed,Outdoor,2007-01-02,2.1,1.68,3.0,4.0,,,,421.0,53.0,Auckland,Oprandi R.,0.0,,,2.44,1.649,1st Round,,,Hard,Tier 4,ASB Classic,2.1,1.7,6.0,6.0,,372.5,68.0,1,Granville L.,2.0
14,,,5,1.14,3,5.25,1.14,Completed,Outdoor,2007-01-02,4.5,1.18,7.0,2.0,3.0,,,258.5,118.0,Auckland,Osterloh L.,1.0,,,6.11,1.178,1st Round,,,Hard,Tier 4,ASB Classic,5.1,1.15,5.0,6.0,6.0,781.0,24.0,1,Zvonareva V.,2.0
15,,,5.5,1.12,3,5.65,1.12,Completed,Outdoor,2007-01-02,5.0,1.15,3.0,4.0,,,,326.75,82.0,Auckland,Schruff J.,0.0,,,6.7,1.159,1st Round,,,Hard,Tier 4,ASB Classic,5.25,1.14,6.0,6.0,,1211.0,12.0,1,Jankovic J.,2.0
16,,,2,1.72,3,2.05,1.72,Completed,Outdoor,2007-01-02,1.95,1.8,3.0,5.0,,,,401.75,59.0,Auckland,Dulko G.,0.0,,,2.25,1.741,2nd Round,,,Hard,Tier 4,ASB Classic,2.0,1.75,6.0,7.0,,365.5,70.0,1,Craybas J.,2.0
17,,,1.28,3.25,3,1.22,4.0,Completed,Outdoor,2007-01-02,1.25,3.75,5.0,4.0,,,,951.0,18.0,Auckland,Bartoli M.,0.0,,,1.272,4.38,2nd Round,,,Hard,Tier 4,ASB Classic,1.28,3.5,7.0,6.0,,418.5,56.0,1,Loit E.,2.0
18,,,2.37,1.53,3,2.5,1.5,Completed,Outdoor,2007-01-03,2.5,1.5,5.0,4.0,,,,332.25,81.0,Auckland,Sun T.T.,0.0,,,2.58,1.595,2nd Round,,,Hard,Tier 4,ASB Classic,2.33,1.57,7.0,6.0,,155.75,178.0,1,Suarez P.,2.0
19,,,4,1.22,3,4.0,1.22,Completed,Outdoor,2007-01-03,3.75,1.25,4.0,6.0,4.0,,,171.0,162.0,Auckland,Erakovic M.,1.0,,,4.0,1.303,2nd Round,,,Hard,Tier 4,ASB Classic,,,6.0,2.0,6.0,538.75,36.0,1,Daniilidou E.,2.0
20,,,2.37,1.53,3,2.35,1.55,Completed,Outdoor,2007-01-03,2.5,1.5,6.0,3.0,3.0,,,210.75,135.0,Auckland,Meusburger Y.,1.0,,,2.43,1.654,2nd Round,,,Hard,Tier 4,ASB Classic,2.33,1.57,2.0,6.0,6.0,349.0,75.0,1,Pin C.,2.0
21,,,5,1.14,3,6.3,1.1,Completed,Outdoor,2007-01-03,5.2,1.14,2.0,1.0,,,,349.75,74.0,Auckland,Laine E.,0.0,,,7.1,1.149,2nd Round,,,Hard,Tier 4,ASB Classic,5.3,1.14,6.0,6.0,,1211.0,12.0,1,Jankovic J.,2.0
