Country;Season;Date;Type;Home_Team;Home_Points;Away_Points;Away_Team;Odds_Home;Odds_Away;End_Of_RT;Number of Points - TOTAL;Winning Margin
USA;MLB 2006;15/05/2006;Regular Season;Arizona Diamondbacks;6;5;San Diego Padres;-161;102;Home;11;1 to 3
USA;MLB 2006;15/05/2006;Regular Season;Atlanta Braves;11;8;Miami Marlins;-182;114;Home;19;1 to 3
USA;MLB 2006;15/05/2006;Regular Season;Baltimore Orioles;1;11;Boston Red Sox;106;-167;Away;12;6 to 10
USA;MLB 2006;15/05/2006;Regular Season;Colorado Rockies;4;5;Los Angeles Dodgers;-123;-127;Away;9;1 to 3
USA;MLB 2006;15/05/2006;Regular Season;Houston Astros;1;10;San Francisco Giants;-161;102;Away;11;6 to 10
USA;MLB 2006;15/05/2006;Regular Season;New York Yankees;2;4;Texas Rangers;-182;114;Away;6;1 to 3
USA;MLB 2006;15/05/2006;Regular Season;Minnesota Twins;3;7;Chicago White Sox;-108;-147;Away;10;4 to 5
USA;MLB 2006;16/05/2006;Regular Season;Arizona Diamondbacks;5;2;San Diego Padres;-105;-149;Home;7;1 to 3
USA;MLB 2006;16/05/2006;Regular Season;Athletics;12;6;Seattle Mariners;-125;-125;Home;18;6 to 10
USA;MLB 2006;16/05/2006;Regular Season;Atlanta Braves;4;3;Miami Marlins;-196;123;Home;7;1 to 3
USA;MLB 2006;16/05/2006;Regular Season;Baltimore Orioles;5;6;Boston Red Sox;112;-179;Away;11;1 to 3
USA;MLB 2006;16/05/2006;Regular Season;Chicago Cubs;4;0;Washington Nationals;-179;112;Home;4;4 to 5
USA;MLB 2006;16/05/2006;Regular Season;Cleveland Guardians;6;4;Kansas City Royals;-204;127;Home;10;1 to 3
USA;MLB 2006;16/05/2006;Regular Season;Colorado Rockies;5;1;Los Angeles Dodgers;-120;-130;Home;6;4 to 5
USA;MLB 2006;16/05/2006;Regular Season;Detroit Tigers;7;4;Minnesota Twins;-182;114;Home;11;1 to 3
USA;MLB 2006;16/05/2006;Regular Season;Houston Astros;3;14;San Francisco Giants;-152;-103;Away;17;11 to 15
USA;MLB 2006;16/05/2006;Regular Season;Los Angeles Angels;8;3;Toronto Blue Jays;-125;-125;Home;11;4 to 5
USA;MLB 2006;16/05/2006;Regular Season;Milwaukee Brewers;3;2;Philadelphia Phillies;-145;-109;Home;5;1 to 3
USA;MLB 2006;16/05/2006;Regular Season;New York Yankees;14;13;Texas Rangers;-156;100;Home;27;1 to 3
USA;MLB 2006;16/05/2006;Regular Season;Pittsburgh Pirates;9;3;Cincinnati Reds;-109;-145;Home;12;6 to 10
USA;MLB 2006;16/05/2006;Regular Season;St.Louis Cardinals;3;8;New York Mets;-130;-120;Away;11;4 to 5
USA;MLB 2006;16/05/2006;Regular Season;Tampa Bay Rays;10;7;Chicago White Sox;-125;-125;Home;17;1 to 3
USA;MLB 2006;17/05/2006;Regular Season;Arizona Diamondbacks;10;14;San Diego Padres;-143;-110;Away;24;4 to 5
USA;MLB 2006;17/05/2006;Regular Season;Athletics;7;2;Seattle Mariners;-145;-109;Home;9;4 to 5
USA;MLB 2006;17/05/2006;Regular Season;Atlanta Braves;6;4;Miami Marlins;-244;149;Home;10;1 to 3
USA;MLB 2006;17/05/2006;Regular Season;Baltimore Orioles;4;3;Boston Red Sox;-120;-130;Home;7;1 to 3
USA;MLB 2006;17/05/2006;Regular Season;Chicago Cubs;5;0;Washington Nationals;-132;-118;Home;5;4 to 5
USA;MLB 2006;17/05/2006;Regular Season;Cleveland Guardians;5;0;Kansas City Royals;-204;125;Home;5;4 to 5
USA;MLB 2006;17/05/2006;Regular Season;Detroit Tigers;2;0;Minnesota Twins;-115;-137;Home;2;1 to 3
USA;MLB 2006;17/05/2006;Regular Season;Houston Astros;1;10;San Francisco Giants;-130;-120;Away;11;6 to 10
USA;MLB 2006;17/05/2006;Regular Season;Los Angeles Angels;0;3;Toronto Blue Jays;-141;-111;Away;3;1 to 3
USA;MLB 2006;17/05/2006;Regular Season;Milwaukee Brewers;8;7;Philadelphia Phillies;-132;-116;Home;15;1 to 3
USA;MLB 2006;17/05/2006;Regular Season;New York Yankees;4;3;Texas Rangers;-152;-102;Home;7;1 to 3
USA;MLB 2006;17/05/2006;Regular Season;Pittsburgh Pirates;7;2;Cincinnati Reds;-101;-154;Home;9;4 to 5
USA;MLB 2006;17/05/2006;Regular Season;St.Louis Cardinals;1;0;New York Mets;-152;-102;Home;1;1 to 3
USA;MLB 2006;17/05/2006;Regular Season;Tampa Bay Rays;2;5;Chicago White Sox;-103;-154;Away;7;1 to 3
USA;MLB 2006;17/05/2006;Regular Season;Colorado Rockies;2;3;Los Angeles Dodgers;-122;-128;Away;5;1 to 3
USA;MLB 2006;18/05/2006;Regular Season;Atlanta Braves;9;1;Miami Marlins;-167;106;Home;10;6 to 10
USA;MLB 2006;18/05/2006;Regular Season;Detroit Tigers;5;3;Minnesota Twins;-179;114;Home;8;1 to 3
USA;MLB 2006;18/05/2006;Regular Season;Milwaukee Brewers;5;4;Philadelphia Phillies;-102;-152;Home;9;1 to 3
USA;MLB 2006;18/05/2006;Regular Season;Pittsburgh Pirates;8;9;Cincinnati Reds;-120;-130;Away;17;1 to 3
USA;MLB 2006;18/05/2006;Regular Season;Cleveland Guardians;6;5;Kansas City Royals;-222;139;Home;11;1 to 3
USA;MLB 2006;18/05/2006;Regular Season;Los Angeles Angels;4;8;Toronto Blue Jays;-118;-132;Away;12;4 to 5
USA;MLB 2006;18/05/2006;Regular Season;Tampa Bay Rays;5;4;Chicago White Sox;108;-169;Home;9;1 to 3
USA;MLB 2006;18/05/2006;Regular Season;Athletics;6;3;Seattle Mariners;-127;-123;Home;9;1 to 3
USA;MLB 2006;18/05/2006;Regular Season;Chicago Cubs;3;5;Washington Nationals;-182;114;Away;8;1 to 3
USA;MLB 2006;18/05/2006;Regular Season;St.Louis Cardinals;6;3;New York Mets;-172;108;Home;9;1 to 3
USA;MLB 2006;18/05/2006;Regular Season;New York Yankees;2;6;Texas Rangers;-149;-104;Away;8;4 to 5
USA;MLB 2006;19/05/2006;Regular Season;Arizona Diamondbacks;10;9;Atlanta Braves;-120;-130;Home;19;1 to 3
USA;MLB 2006;19/05/2006;Regular Season;Athletics;1;0;San Francisco Giants;-149;-105;Home;1;1 to 3
