Country;Season;Date;Home_Team;Home_Goal;Away_Goal;Away_Team;Note;Odds_Home;Odds_Draw;Odds_Away;End_Of_RT;Interval;Exact number of goals;Winning margin;Number of goals;BTTS
USA;MLS 1998;07/01/1998;Chicago Fire;4;1;Fc Dallas;;-182;220;600;Home;4 | 6;5;3_or_+;+ | 3.5;Yes
USA;MLS 1998;07/01/1998;Sporting Kansas City;1;0;New England Revolution;;-105;190;280;Home;0 | 1;1;1;- | 2.5;No
USA;MLS 1998;07/02/1998;Dc United;3;1;Miami;;-286;309;800;Home;4 | 6;4;2;+ | 3.5;Yes
USA;MLS 1998;09/02/1998;Chicago Fire;3;2;Miami;;-200;240;500;Home;4 | 6;5;1;+ | 3.5;Yes
USA;MLS 1998;09/02/1998;Colorado Rapids;3;2;Sporting Kansas City;;110;200;260;Home;4 | 6;5;1;+ | 3.5;Yes
USA;MLS 1998;09/02/1998;Los Angeles Galaxy;3;0;Fc Dallas;;-222;280;550;Home;2 | 3;3;3_or_+;- | 3.5;No
USA;MLS 1998;09/02/1998;New York Red Bulls;0;2;New England Revolution;;-167;229;420;Away;2 | 3;2;2;- | 2.5;No
USA;MLS 1998;06/03/1998;Houston Dynamo;0;4;Dc United;;185;185;150;Away;4 | 6;4;3_or_+;+ | 3.5;No
USA;MLS 1998;06/03/1998;New York Red Bulls;1;2;Mutiny;;-143;220;350;Away;2 | 3;3;1;- | 3.5;Yes
USA;MLS 1998;09/03/1998;Mutiny;2;1;Houston Dynamo;;100;210;300;Home;2 | 3;3;1;- | 3.5;Yes
USA;MLS 1998;21/03/1998;Dc United;3;2;Sporting Kansas City;;-118;210;280;Home;4 | 6;5;1;+ | 3.5;Yes
USA;MLS 1998;21/03/1998;Miami;0;2;Chicago Fire;;160;190;160;Away;2 | 3;2;2;- | 2.5;No
USA;MLS 1998;21/03/1998;Mutiny;1;2;Columbus Crew;;-118;210;280;Away;2 | 3;3;1;- | 3.5;Yes
USA;MLS 1998;28/03/1998;Los Angeles Galaxy;3;2;New York Red Bulls;;-125;210;309;Home;4 | 6;5;1;+ | 3.5;Yes
USA;MLS 1998;29/03/1998;Fc Dallas;2;1;Columbus Crew;;110;200;265;Home;2 | 3;3;1;- | 3.5;Yes
USA;MLS 1998;04/04/1998;Chicago Fire;2;0;Mutiny;;120;195;229;Home;2 | 3;2;2;- | 2.5;No
USA;MLS 1998;04/04/1998;Colorado Rapids;0;1;Los Angeles Galaxy;;100;200;254;Away;0 | 1;1;1;- | 2.5;No
USA;MLS 1998;04/04/1998;Columbus Crew;2;1;Dc United;;175;185;175;Home;2 | 3;3;1;- | 3.5;Yes
USA;MLS 1998;04/04/1998;Miami;2;1;New England Revolution;;175;185;175;Home;2 | 3;3;1;- | 3.5;Yes
USA;MLS 1998;04/04/1998;Sporting Kansas City;2;0;New York Red Bulls;;-133;215;350;Home;2 | 3;2;2;- | 2.5;No
