Country;Season;Date;Type;Home_Team;Home_Points;Away_Points;Away_Team;Note;Odds_Home;Odds_Away;End_Of_RT;Number of Points - TOTAL;Number of Points - INTERVAL;Winning Margin
USA;NBA 2008/2009;29/10/2008;Regular Season;Philadelphia 76Ers;84;95;Toronto Raptors;;-222;175;Away;179;171 | 180;11 to 15
USA;NBA 2008/2009;29/10/2008;Regular Season;Los Angeles Lakers;96;76;Portland Trail Blazers;;-400;300;Home;172;171 | 180;16 to 20
USA;NBA 2008/2009;29/10/2008;Regular Season;Chicago Bulls;108;95;Milwaukee Bucks;;-263;229;Home;203;201 | 210;11 to 15
USA;NBA 2008/2009;29/10/2008;Regular Season;Boston Celtics;90;85;Cleveland Cavaliers;;-263;229;Home;175;171 | 180;1 to 5
USA;NBA 2008/2009;30/10/2008;Regular Season;Utah Jazz;98;94;Denver Nuggets;;-385;290;Home;192;191 | 200;1 to 5
USA;NBA 2008/2009;30/10/2008;Regular Season;Houston Rockets;82;71;Memphis Grizzlies;;-1000;700;Home;153;151 | 160;11 to 15
USA;NBA 2008/2009;30/10/2008;Regular Season;Detroit Pistons;100;94;Indiana Pacers;;-769;450;Home;194;191 | 200;6 to 10
USA;NBA 2008/2009;30/10/2008;Regular Season;Minnesota Timberwolves;98;96;Sacramento Kings;;-238;200;Home;194;191 | 200;1 to 5
USA;NBA 2008/2009;30/10/2008;Regular Season;San Antonio Spurs;98;103;Phoenix Suns;;-105;-115;Away;201;201 | 210;1 to 5
USA;NBA 2008/2009;30/10/2008;Regular Season;New York Knicks;120;115;Miami Heat;;-145;120;Home;235;231 | 240;1 to 5
USA;NBA 2008/2009;30/10/2008;Regular Season;Orlando Magic;85;99;Atlanta Hawks;;-357;280;Away;184;181 | 190;11 to 15
USA;NBA 2008/2009;30/10/2008;Regular Season;Washington Wizards;85;95;Brooklyn Nets;;-238;200;Away;180;171 | 180;6 to 10
USA;NBA 2008/2009;30/10/2008;Regular Season;Golden State Warriors;103;108;New Orleans Pelicans;;250;-278;Away;211;211 | 220;1 to 5
USA;NBA 2008/2009;30/10/2008;Regular Season;Los Angeles Clippers;79;117;Los Angeles Lakers;;425;-588;Away;196;191 | 200;At Least 26
USA;NBA 2008/2009;31/10/2008;Regular Season;Phoenix Suns;95;108;New Orleans Pelicans;;-154;135;Away;203;201 | 210;11 to 15
USA;NBA 2008/2009;31/10/2008;Regular Season;Dallas Mavericks;102;112;Houston Rockets;;-175;154;Away;214;211 | 220;6 to 10
USA;NBA 2008/2009;31/10/2008;Regular Season;Cleveland Cavaliers;96;79;Charlotte Hornets;;-556;350;Home;175;171 | 180;16 to 20
USA;NBA 2008/2009;01/11/2008;Regular Season;Los Angeles Clippers;103;113;Denver Nuggets;OT;104;-125;Draw;216;211 | 220;6 to 10
USA;NBA 2008/2009;01/11/2008;Regular Season;Portland Trail Blazers;100;99;San Antonio Spurs;;110;-125;Home;199;191 | 200;1 to 5
USA;NBA 2008/2009;01/11/2008;Regular Season;Boston Celtics;96;80;Chicago Bulls;;-500;450;Home;176;171 | 180;16 to 20
USA;NBA 2008/2009;01/11/2008;Regular Season;Memphis Grizzlies;86;84;Orlando Magic;;260;-333;Home;170;161 | 170;1 to 5
USA;NBA 2008/2009;01/11/2008;Regular Season;Miami Heat;103;77;Sacramento Kings;;-270;229;Home;180;171 | 180;At Least 26
USA;NBA 2008/2009;01/11/2008;Regular Season;Philadelphia 76Ers;116;87;New York Knicks;;-400;320;Home;203;201 | 210;At Least 26
USA;NBA 2008/2009;01/11/2008;Regular Season;Toronto Raptors;112;108;Golden State Warriors;OT;-278;229;Draw;220;211 | 220;1 to 5
USA;NBA 2008/2009;02/11/2008;Regular Season;Phoenix Suns;107;96;Portland Trail Blazers;;-400;333;Home;203;201 | 210;11 to 15
