Country;Season;Date;Type;Home_Team;Home_Points;Away_Points;Away_Team;Note;Odds_Home;Odds_Away;End_Of_RT;Number of Points - TOTAL;Winning Margin
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Louisiana-Lafayette;49;20;Florida International;;333;-400;Home;69;At Least 26
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Idaho;24;30;San Jose State;;-769;450;Away;54;6 to 10
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Stanford;58;0;Washington State;;1400;-5000;Home;58;At Least 26
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Western Kentucky;40;51;North Texas;;450;-833;Away;91;11 to 15
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Boston College;21;27;Clemson;;135;-154;Away;48;6 to 10
USA;NCAAF 2008/2009;11/01/2008;Regular Season;California;26;16;Oregon;;114;-141;Home;42;6 to 10
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Georgia;10;49;Florida Gators;;-303;250;Away;59;At Least 26
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Georgia Tech;31;28;Florida State;;120;-141;Home;59;1 to 5
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Illinois;27;24;Iowa;;120;-145;Home;51;1 to 5
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Navy;33;27;Temple;OT;260;-323;Draw;60;6 to 10
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Oklahoma State;59;17;Iowa State;;1600;-5000;Home;76;At Least 26
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Wake Forest;33;30;Duke;OT;280;-323;Draw;63;1 to 5
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Alabama;35;0;Arkansas State;;1000;-2000;Home;35;At Least 26
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Baylor;28;31;Missouri;;-1000;650;Away;59;1 to 5
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Utah State;30;14;Hawaii;;-222;179;Home;44;16 to 20
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Notre Dame;33;36;Pittsburgh;OT;179;-222;Draw;69;1 to 5
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Louisiana Tech;38;35;Fresno State;;-222;179;Home;73;1 to 5
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Mississippi St.;13;14;Kentucky;;120;-141;Away;27;1 to 5
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Texas A&M;24;17;Colorado Buffaloes;;150;-169;Home;41;6 to 10
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Arkansas;30;23;Tulsa;;-250;210;Home;53;6 to 10
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Bowling Green;45;30;Kent State;;200;-222;Home;75;11 to 15
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Western Michigan;31;10;Eastern Michigan;;500;-833;Home;41;21 to 25
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Wyoming;35;10;San Diego State;;179;-208;Home;45;21 to 25
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Kansas;52;21;Kansas State;;270;-345;Home;73;At Least 26
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Ole Miss;17;7;Auburn;;220;-263;Home;24;6 to 10
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Army;7;16;Air Force;;-323;260;Away;23;6 to 10
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Connecticut;13;35;West Virginia;;-164;145;Away;48;21 to 25
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Indiana;34;37;Central Michigan;;110;-130;Away;71;1 to 5
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Michigan State;25;24;Wisconsin;;190;-233;Home;49;1 to 5
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Minnesota;17;24;Northwestern;;250;-303;Away;41;6 to 10
USA;NCAAF 2008/2009;11/01/2008;Regular Season;Purdue;48;42;Michigan;;110;-130;Home;90;6 to 10
USA;NCAAF 2008/2009;11/02/2008;Regular Season;Utep;44;49;Rice;;-145;120;Away;93;1 to 5
USA;NCAAF 2008/2009;11/02/2008;Regular Season;Lsu;35;10;Tulane;;1400;-2500;Home;45;21 to 25
USA;NCAAF 2008/2009;11/02/2008;Regular Season;Oklahoma;62;28;Nebraska;;650;-1000;Home;90;At Least 26
USA;NCAAF 2008/2009;11/02/2008;Regular Season;Texas Tech;39;33;Texas;;-164;140;Home;72;6 to 10
USA;NCAAF 2008/2009;11/02/2008;Regular Season;Unlv Rebels;14;44;Tcu;;-588;400;Away;58;At Least 26
USA;NCAAF 2008/2009;11/02/2008;Regular Season;Louisiana-Monroe;31;30;Troy;;-400;300;Home;61;1 to 5
USA;NCAAF 2008/2009;11/02/2008;Regular Season;New Mexico State;0;49;Boise State;;-1250;700;Away;49;At Least 26
USA;NCAAF 2008/2009;11/02/2008;Regular Season;South Carolina;27;6;Tennessee;;200;-238;Home;33;21 to 25
USA;NCAAF 2008/2009;11/02/2008;Regular Season;Syracuse;28;21;Louisville;;-500;350;Home;49;6 to 10
USA;NCAAF 2008/2009;11/03/2008;Regular Season;Ucf;10;13;East Carolina;OT;-233;190;Draw;23;1 to 5
USA;NCAAF 2008/2009;11/06/2008;Regular Season;Akron;47;30;Toledo;;210;-250;Home;77;16 to 20
USA;NCAAF 2008/2009;11/07/2008;Regular Season;Utah;13;10;Tcu;;-130;110;Home;23;1 to 5
