Country;Season;Date;Type;Home_Team;Home_Points;Away_Points;Away_Team;Note;Odds_Home;Odds_Away;End_Of_RT;Number of Points - TOTAL;Winning Margin
USA;NFL 2008/2009;05/09/2008;Regular Season;Washington Commanders;7;16;New York Giants;;175;-213;Away;23;6 to 10
USA;NFL 2008/2009;07/09/2008;Regular Season;Cleveland Browns;10;28;Dallas Cowboys;;220;-270;Away;38;16 to 20
USA;NFL 2008/2009;07/09/2008;Regular Season;Los Angeles Chargers;24;26;Carolina Panthers;;-455;340;Away;50;1 to 5
USA;NFL 2008/2009;07/09/2008;Regular Season;San Francisco 49Ers;13;23;Arizona Cardinals;;120;-145;Away;36;6 to 10
USA;NFL 2008/2009;08/09/2008;Regular Season;Indianapolis Colts;13;29;Chicago Bears;;-500;375;Away;42;16 to 20
USA;NFL 2008/2009;09/09/2008;Regular Season;Las Vegas Raiders;14;41;Denver Broncos;;129;-156;Away;55;At Least 26
USA;NFL 2008/2009;09/09/2008;Regular Season;Green Bay Packers;24;19;Minnesota Vikings;;-130;110;Home;43;1 to 5
USA;NFL 2008/2009;14/09/2008;Regular Season;Tampa Bay Buccaneers;24;9;Atlanta Falcons;;-323;260;Home;33;11 to 15
USA;NFL 2008/2009;21/09/2008;Regular Season;Baltimore Ravens;28;10;Cleveland Browns;;-149;125;Home;38;16 to 20
USA;NFL 2008/2009;21/09/2008;Regular Season;Indianapolis Colts;21;23;Jacksonville Jaguars;;-233;179;Away;44;1 to 5
USA;NFL 2008/2009;21/09/2008;Regular Season;Philadelphia Eagles;15;6;Pittsburgh Steelers;;-208;170;Home;21;6 to 10
USA;NFL 2008/2009;21/09/2008;Regular Season;Denver Broncos;34;32;New Orleans Saints;;-233;190;Home;66;1 to 5
USA;NFL 2008/2009;21/09/2008;Regular Season;San Francisco 49Ers;31;13;Detroit Lions;;-227;185;Home;44;16 to 20
USA;NFL 2008/2009;21/09/2008;Regular Season;Seattle Seahawks;37;13;Los Angeles Rams;;-435;330;Home;50;21 to 25
USA;NFL 2008/2009;21/09/2008;Regular Season;Atlanta Falcons;38;14;Kansas City Chiefs;;-303;220;Home;52;21 to 25
USA;NFL 2008/2009;21/09/2008;Regular Season;Buffalo Bills;24;23;Las Vegas Raiders;;-476;359;Home;47;1 to 5
