Category;Genre;Season;Date;Fighter 1;Fighter 2;Winner;Result Method;Odds 1;Odds 2
Heavyweight;Ufc Men;2013;2/3/2013;Overeem A.;Silva A.;Silva A.;Silva A. - 3Rd Round Tko;-400;300
Welterweight;Ufc Men;2013;2/3/2013;Fitch J.;Maia D.;Maia D.;Maia D. Win;-175;150
Middleweight;Ufc Men;2013;3/3/2013;Okami Y.;Lombard H.;Okami Y.;Okami Y. - 3Rd Round Tko;175;-213
Featherweight;Ufc Men;2013;4/6/2013;Brandao D.;Garza P.;Brandao D.;Brandao D. - 1St Round Tko;-227;187
Heavyweight;Ufc Men;2013;4/6/2013;Mitrione M.;De Fries P.;Mitrione M.;Mitrione M. - 1St Round Ko;-333;250
Bantamweight;Ufc Men;2013;4/6/2013;Pickett B.;Easton M.;Pickett B.;Pickett B. Win;-172;140
Lightweight;Ufc Men;2013;11/6/2013;Edwards Y.;Medeiros Y.;Medeiros Y.;Medeiros Y. - 1St Round Ko;162;-189
Welterweight;Ufc Men;2013;6/9/2013;Silva E.;High J.;Silva E.;Silva E. - 1St Round Tko;-455;350
Flyweight;Ufc Men;2013;10/9/2013;Santos I.;Cariaso C.;Cariaso C.;Cariaso C. - 2Nd Round Tko;-152;125
Lightweight;Ufc Men;2013;11/9/2013;Martins A.;Cruickshank D.;Martins A.;Martins A. - 2Nd Round Tko;100;-125
Welterweight;Ufc Men;2013;10/10/2013;Palhares R.;Pierce M.;Palhares R.;Palhares R. - 1St Round Tko;200;-250
Welterweight;Ufc Men;2013;11/10/2013;Thiago P.;Thatch B.;Thatch B.;Thatch B. - 1St Round Ko;275;-357
Light Heavyweight;Ufc Men;2015;8/2/2015;Cavalcante R.;Cummins P.;Cummins P.;Cummins P. - 3Rd Round Tko;137;-179
Heavyweight;Ufc Men;2015;8/2/2015;Silva A.;Palelei S.;Silva A.;Silva A. - 2Nd Round Tko;161;-213
Heavyweight;Ufc Men;2015;8/2/2015;Struve S.;Nogueira A. R.;Struve S.;Struve S. Win;-175;150
Bantamweight;Ufc Men;2015;8/2/2015;Vieira R.;Lopes D.;Vieira R.;Vieira R. Win;254;-357
Bantamweight;Ufc Men;2015;8/2/2015;Alcantara Y.;Issa L.;Alcantara Y.;Alcantara Y. Win;-263;191
Bantamweight;Ufc Men;2015;8/2/2015;Viana H.;Cannetti G.;Cannetti G.;Cannetti G. Win;-526;359
Middleweight;Ufc Men;2015;8/2/2015;Miranda V.;Hester C.;Miranda V.;Miranda V. - 2Nd Round Tko;119;-156
Lightweight;Ufc Men;2015;8/2/2015;Franca G.;Bruno F.;Franca G.;Franca G. - 3Rd Round Tko;-185;142
Welterweight;Ufc Men;2015;8/2/2015;Alves W.;Taleb N.;Alves W.;Alves W. - 2Nd Round Tko;-294;215
Welterweight;Ufc Men;2015;8/2/2015;Maia D.;Magny N.;Maia D.;Maia D. - 2Nd Round Tko;-208;159
Light Heavyweight;Ufc Men;2015;10/4/2015;Bader R.;Evans R.;Bader R.;Bader R. Win;110;-145
Light Heavyweight;Ufc Men;2015;10/4/2015;Cormier D.;Gustafsson A.;Cormier D.;Cormier D. Win;-250;189
Featherweight;Ufc Men;2015;10/4/2015;Rodriguez Y.;Hooker D.;Rodriguez Y.;Rodriguez Y. Win;-312;227
Heavyweight;Ufc Men;2015;10/4/2015;Jordan S.;Magomedov R.;Magomedov R.;Magomedov R. Win;144;-185
Heavyweight;Ufc Men;2015;10/4/2015;Lewis D.;Pesta V.;Lewis D.;Lewis D. - 3Rd Round Ko;125;-161
Flyweight;Ufc Men;2015;10/4/2015;Benavidez J.;Bagautinov A.;Benavidez J.;Benavidez J. Win;-345;244
Flyweight;Ufc Men;2015;10/4/2015;Cariaso C.;Pettis S.;Pettis S.;Pettis S. Win;152;-192
Lightweight;Ufc Men;2015;10/4/2015;Martins A.;Makhachev I.;Martins A.;Martins A. - 1St Round Ko;112;-145
Lightweight;Ufc Men;2015;10/4/2015;Trevino F.;Northcutt S.;Northcutt S.;Northcutt S. - 1St Round Ko;322;-476
Welterweight;Ufc Men;2015;10/4/2015;Jouban A.;Tumenov A.;Tumenov A.;Tumenov A. - 1St Round Ko;196;-263
Light Heavyweight;Ufc Men;2015;9/6/2015;Blachowicz J.;Anderson C.;Anderson C.;Anderson C. Win;-135;102
Light Heavyweight;Ufc Men;2015;9/6/2015;Johnson A.;Manuwa J.;Johnson A.;Johnson A. - 2Nd Round Ko;-625;404
Featherweight;Ufc Men;2015;9/6/2015;Collard C.;Trator T.;Trator T.;Trator T. Win;-149;117
Featherweight;Ufc Men;2015;9/6/2015;Silva J.;Malegarie N.;Silva J.;Silva J. Win;106;-139
Heavyweight;Ufc Men;2015;9/6/2015;Arlovski A.;Mir F.;Arlovski A.;Arlovski A. Win;-167;129
Bantamweight;Ufc Men;2015;9/6/2015;Rivera F.;Lineker J.;Lineker J.;Lineker J. - 1St Round Tko;116;-147
Middleweight;Ufc Men;2015;9/6/2015;Riggs J.;Stallings R.;Riggs J.;Riggs J. - 2Nd Round Tko;165;-217
Flyweight;Ufc Men;2015;9/6/2015;Johnson D.;Dodson J.;Johnson D.;Johnson D. Win;-556;370
Lightweight;Ufc Men;2015;9/6/2015;Pearson R.;Felder P.;Pearson R.;Pearson R. Win;315;-455
Light Heavyweight;Ufc Men;2015;11/8/2015;Maldonado F.;Anderson C.;Anderson C.;Anderson C. Win;373;-556
Light Heavyweight;Ufc Men;2015;11/8/2015;Teixeira G.;Cummins P.;Teixeira G.;Teixeira G. - 2Nd Round Tko;-500;332
Featherweight;Ufc Men;2015;11/8/2015;Guida C.;Tavares T.;Tavares T.;Tavares T. - 1St Round Tko;-164;127
Featherweight;Ufc Men;2015;11/8/2015;Souza K.;Skelly C.;Skelly C.;Skelly C. - 2Nd Round Tko;139;-179
Bantamweight;Ufc Men;2015;11/8/2015;Almeida T.;Birchak A.;Almeida T.;Almeida T. - 1St Round Ko;-455;328
Bantamweight;Ufc Men;2015;11/8/2015;Korea B.;Nicolau M.;Nicolau M.;Nicolau M. - 3Rd Round Tko;162;-192
Bantamweight;Ufc Men;2015;11/8/2015;Munhoz P.;Rivera J.;Rivera J.;Rivera J. Win;-175;135
Middleweight;Ufc Men;2015;11/8/2015;Belfort V.;Henderson D.;Belfort V.;Belfort V. - 1St Round Ko;-333;246
Lightweight;Ufc Men;2015;11/8/2015;Burns G.;Magomedov R.;Magomedov R.;Magomedov R. Win;165;-204
