Country;Season;Date;Type;Home_Team;Home_Points;Away_Points;Away_Team;Note;Odds_Home;Odds_Away;End_Of_RT;Number of Points - TOTAL;Number of Points - INTERVAL;Winning Margin
USA;WNBA 2009;07/01/2009;Regular Season;Chicago Sky W;74;72;Sacramento Monarchs W;;-238;194;Home;146;0 | 150;1 to 5
USA;WNBA 2009;07/01/2009;Regular Season;Las Vegas Aces W;82;84;Washington Mystics W;;-370;291;Away;166;161 | 170;1 to 5
USA;WNBA 2009;07/01/2009;Regular Season;Atlanta Dream W;85;91;Minnesota Lynx W;;-303;229;Away;176;171 | 180;6 to 10
USA;WNBA 2009;07/02/2009;Regular Season;Phoenix Mercury W;93;81;Seattle Storm W;;-141;117;Home;174;171 | 180;11 to 15
USA;WNBA 2009;09/02/2009;Regular Season;Los Angeles Sparks W;79;84;Atlanta Dream W;;-222;179;Away;163;161 | 170;1 to 5
USA;WNBA 2009;09/02/2009;Regular Season;Sacramento Monarchs W;90;70;Connecticut Sun W;;-103;-118;Home;160;151 | 160;16 to 20
USA;WNBA 2009;09/02/2009;Regular Season;Las Vegas Aces W;84;82;Minnesota Lynx W;OT;-217;171;Draw;166;161 | 170;1 to 5
USA;WNBA 2009;09/02/2009;Regular Season;Dallas Wings W;101;99;Phoenix Mercury W;;-128;104;Home;200;191 | 200;1 to 5
USA;WNBA 2009;09/02/2009;Regular Season;New York Liberty W;58;65;Seattle Storm W;;-130;104;Away;123;0 | 150;6 to 10
USA;WNBA 2009;07/03/2009;Regular Season;Minnesota Lynx W;68;74;Sacramento Monarchs W;;-263;219;Away;142;0 | 150;6 to 10
USA;WNBA 2009;07/03/2009;Regular Season;New York Liberty W;80;64;Dallas Wings W;;-172;145;Home;144;0 | 150;16 to 20
USA;WNBA 2009;09/03/2009;Regular Season;Indiana Fever W;90;106;Phoenix Mercury W;;-179;146;Away;196;191 | 200;16 to 20
USA;WNBA 2009;07/04/2009;Regular Season;Las Vegas Aces W;85;72;Chicago Sky W;;-256;206;Home;157;151 | 160;11 to 15
USA;WNBA 2009;07/04/2009;Regular Season;Atlanta Dream W;72;65;Washington Mystics W;;-182;154;Home;137;0 | 150;6 to 10
USA;WNBA 2009;09/04/2009;Regular Season;Washington Mystics W;78;67;Seattle Storm W;;-141;117;Home;145;0 | 150;11 to 15
USA;WNBA 2009;09/05/2009;Regular Season;Sacramento Monarchs W;90;98;Atlanta Dream W;;-103;-120;Away;188;181 | 190;6 to 10
USA;WNBA 2009;09/05/2009;Regular Season;Chicago Sky W;92;86;Washington Mystics W;;-196;161;Home;178;171 | 180;6 to 10
USA;WNBA 2009;09/05/2009;Regular Season;Dallas Wings W;70;63;Indiana Fever W;OT;-133;108;Draw;133;0 | 150;6 to 10
USA;WNBA 2009;09/05/2009;Regular Season;Connecticut Sun W;88;85;New York Liberty W;OT;-222;179;Draw;173;171 | 180;1 to 5
USA;WNBA 2009;06/06/2009;Regular Season;Connecticut Sun W;70;82;Washington Mystics W;;-385;273;Away;152;151 | 160;11 to 15
USA;WNBA 2009;06/06/2009;Regular Season;Sacramento Monarchs W;61;71;Seattle Storm W;;-128;108;Away;132;0 | 150;6 to 10
USA;WNBA 2009;06/06/2009;Regular Season;Los Angeles Sparks W;78;58;Dallas Wings W;;-238;202;Home;136;0 | 150;16 to 20
USA;WNBA 2009;07/06/2009;Regular Season;Los Angeles Sparks W;89;104;Phoenix Mercury W;;-286;221;Away;193;191 | 200;11 to 15
USA;WNBA 2009;07/06/2009;Regular Season;Dallas Wings W;92;95;Connecticut Sun W;OT;-164;136;Draw;187;181 | 190;1 to 5
USA;WNBA 2009;07/06/2009;Regular Season;Indiana Fever W;78;74;Atlanta Dream W;;-526;372;Home;152;151 | 160;1 to 5
USA;WNBA 2009;09/06/2009;Regular Season;Indiana Fever W;72;61;Washington Mystics W;;-263;213;Home;133;0 | 150;11 to 15
USA;WNBA 2009;09/06/2009;Regular Season;Phoenix Mercury W;100;82;Atlanta Dream W;;-294;231;Home;182;181 | 190;16 to 20
USA;WNBA 2009;09/06/2009;Regular Season;Las Vegas Aces W;89;72;Los Angeles Sparks W;;-127;102;Home;161;161 | 170;16 to 20
USA;WNBA 2009;09/06/2009;Regular Season;Minnesota Lynx W;76;68;Seattle Storm W;;-135;110;Home;144;0 | 150;6 to 10
USA;WNBA 2009;13/06/2009;Regular Season;Sacramento Monarchs W;90;71;Phoenix Mercury W;;-112;-111;Home;161;161 | 170;16 to 20
USA;WNBA 2009;13/06/2009;Regular Season;Chicago Sky W;81;73;Atlanta Dream W;;-208;169;Home;154;151 | 160;6 to 10
USA;WNBA 2009;13/06/2009;Regular Season;Minnesota Lynx W;71;88;Seattle Storm W;;-208;170;Away;159;151 | 160;16 to 20
USA;WNBA 2009;14/06/2009;Regular Season;Connecticut Sun W;62;67;Atlanta Dream W;;-357;276;Away;129;0 | 150;1 to 5
USA;WNBA 2009;14/06/2009;Regular Season;Phoenix Mercury W;115;104;Sacramento Monarchs W;OT;-333;262;Draw;219;211 | 220;11 to 15
USA;WNBA 2009;14/06/2009;Regular Season;Las Vegas Aces W;63;60;New York Liberty W;;-286;221;Home;123;0 | 150;1 to 5
USA;WNBA 2009;15/06/2009;Regular Season;Chicago Sky W;64;57;Seattle Storm W;;100;-120;Home;121;0 | 150;6 to 10
USA;WNBA 2009;17/06/2009;Regular Season;Sacramento Monarchs W;83;86;Minnesota Lynx W;;-102;-119;Away;169;161 | 170;1 to 5
USA;WNBA 2009;17/06/2009;Regular Season;Chicago Sky W;78;75;Connecticut Sun W;;-217;172;Home;153;151 | 160;1 to 5
USA;WNBA 2009;18/06/2009;Regular Season;Phoenix Mercury W;104;80;Minnesota Lynx W;;-192;160;Home;184;181 | 190;21 to 25
USA;WNBA 2009;20/06/2009;Regular Season;Connecticut Sun W;91;61;Chicago Sky W;;-192;158;Home;152;151 | 160;At Least 26
USA;WNBA 2009;20/06/2009;Regular Season;Phoenix Mercury W;89;80;Los Angeles Sparks W;;-179;149;Home;169;161 | 170;6 to 10
USA;WNBA 2009;20/06/2009;Regular Season;Seattle Storm W;90;62;Minnesota Lynx W;;-667;447;Home;152;151 | 160;At Least 26
USA;WNBA 2009;20/06/2009;Regular Season;Atlanta Dream W;93;81;Washington Mystics W;;-179;149;Home;174;171 | 180;11 to 15
USA;WNBA 2009;20/06/2009;Regular Season;Dallas Wings W;54;66;Indiana Fever W;;-185;150;Away;120;0 | 150;11 to 15
USA;WNBA 2009;20/06/2009;Regular Season;New York Liberty W;77;61;Las Vegas Aces W;;-357;278;Home;138;0 | 150;16 to 20
USA;WNBA 2009;21/06/2009;Regular Season;Atlanta Dream W;81;93;New York Liberty W;;-169;141;Away;174;171 | 180;11 to 15
USA;WNBA 2009;21/06/2009;Regular Season;Connecticut Sun W;71;58;Las Vegas Aces W;;-714;468;Home;129;0 | 150;11 to 15
USA;WNBA 2009;21/06/2009;Regular Season;Washington Mystics W;81;72;Chicago Sky W;;-263;214;Home;153;151 | 160;6 to 10
USA;WNBA 2009;22/06/2009;Regular Season;Los Angeles Sparks W;67;47;Sacramento Monarchs W;;-200;164;Home;114;0 | 150;16 to 20
USA;WNBA 2009;22/06/2009;Regular Season;Phoenix Mercury W;84;93;Seattle Storm W;;-122;-102;Away;177;171 | 180;6 to 10
