date,bet_id,league,market,sub_market,edge_pct,odds,stake,profit,outcome
2026-06-24 00:38,football_World_Cup_2026_England_Ghana_line_shopping,World Cup 2026,away,unknown,0.06,15.0,7.35,-7.35,lost
2026-06-24 00:38,football_World_Cup_2026_England_Ghana_away,World Cup 2026,away,unknown,0.2,17.0,21.13,-21.13,lost
2026-06-24 00:38,football_World_Cup_2026_Jordan_Algeria_home,World Cup 2026,home,unknown,0.12,7.08,31.63,-31.63,lost
2026-06-24 00:38,football_World_Cup_2026_England_Ghana_home,World Cup 2026,home,unknown,0.05,1.341,242.84,-242.84,lost
2026-06-24 00:38,football_World_Cup_2026_Portugal_Uzbekistan_away,World Cup 2026,away,unknown,0.04,17.25,4.11,-4.11,lost
2026-06-24 00:38,football_World_Cup_2026_Jordan_Algeria_away,World Cup 2026,away,unknown,0.04,1.64,304.11,194.63,won
2026-06-24 00:38,football_World_Cup_2026_Portugal_Uzbekistan_home,World Cup 2026,home,unknown,0.03,1.253,667.95,168.99,won
2026-06-24 01:57,football_World_Cup_2026_Panama_Croatia_home,World Cup 2026,home,unknown,0.03,7.13,8.98,-8.98,lost
2026-06-24 02:06,line_shop_Panama_Croatia_over_3.5,World Cup 2026,over_3.5,unknown,0.06,3.41,84.4,-84.4,lost
2026-06-24 02:06,line_shop_Portugal_Uzbekistan_no,World Cup 2026,no,unknown,0.09,1.72,534.85,385.09,won
2026-06-24 02:06,line_shop_Panama_Croatia_over_2.5,World Cup 2026,over_2.5,unknown,0.05,1.98,197.94,-197.94,lost
2026-06-24 02:06,line_shop_England_Ghana_no,World Cup 2026,no,unknown,0.03,1.7,201.08,140.76,won
2026-06-24 04:22,football_World_Cup_2026_Colombia_DR_Congo_away,World Cup 2026,away,unknown,0.07,7.8,17.32,-17.32,lost
2026-06-24 04:22,football_World_Cup_2026_Colombia_DR_Congo_draw,World Cup 2026,draw,unknown,0.03,4.36,47.98,-47.98,lost
2026-06-25 00:36,football_World_Cup_2026_Scotland_Brazil_line_shopping,World Cup 2026,home,unknown,0.2,8.5,45.08,-45.08,lost
2026-06-25 00:36,football_World_Cup_2026_Scotland_Brazil_home,World Cup 2026,home,unknown,0.23,8.7,50.01,-50.01,lost
2026-06-25 00:36,football_World_Cup_2026_Morocco_Haiti_away,World Cup 2026,away,unknown,0.12,19.5,10.88,-10.88,lost
2026-06-25 00:36,football_World_Cup_2026_Switzerland_Canada_draw,World Cup 2026,draw,unknown,0.12,3.47,78.65,-78.65,lost
2026-06-25 00:36,football_World_Cup_2026_Bosnia_&_Herzegovina_Qatar_home,World Cup 2026,home,unknown,0.06,1.612,173.44,106.15,won
2026-06-25 00:36,football_World_Cup_2026_Switzerland_Canada_away,World Cup 2026,away,unknown,0.06,3.645,39.48,-39.48,lost
2026-06-25 00:36,football_World_Cup_2026_Morocco_Haiti_home,World Cup 2026,home,unknown,0.06,1.308,307.28,94.64,won
2026-06-25 00:36,line_shop_Bosnia_&_Herzegovina_Qatar_over_3.5,World Cup 2026,over_3.5,unknown,0.28,3.48,355.08,880.6,won
2026-06-25 00:36,line_shop_Bosnia_&_Herzegovina_Qatar_under_1.5,World Cup 2026,under_1.5,unknown,0.21,4.7,175.85,-175.85,lost
2026-06-25 00:36,line_shop_Bosnia_&_Herzegovina_Qatar_over_2.5,World Cup 2026,over_2.5,unknown,0.17,2.0,540.63,540.63,won
2026-06-25 00:36,line_shop_Morocco_Haiti_under_3.5,World Cup 2026,under_3.5,unknown,0.04,1.725,213.37,-213.37,lost
2026-06-25 00:36,line_shop_Bosnia_&_Herzegovina_Qatar_yes,World Cup 2026,yes,unknown,0.05,2.0,195.53,195.53,won
2026-06-25 00:36,line_shop_Bosnia_&_Herzegovina_Qatar_away,World Cup 2026,away,unknown,0.05,7.5,30.67,-30.67,lost
2026-06-25 00:36,line_shop_Morocco_Haiti_over_3.5,World Cup 2026,over_3.5,unknown,0.05,2.52,25.62,38.94,won
2026-06-25 00:36,line_shop_Scotland_Brazil_away,World Cup 2026,away,unknown,0.07,1.477,98.61,47.04,won
2026-06-25 03:20,football_World_Cup_2026_Czechia_Mexico_home,World Cup 2026,home,unknown,0.23,4.67,104.74,-104.74,lost
2026-06-25 03:20,football_World_Cup_2026_South_Africa_South_Korea_away,World Cup 2026,away,unknown,0.13,1.94,231.11,-231.11,lost
